Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
12/1989,10000
01/1990,9527.354024604498
02/1990,9062.253934667986
03/1990,8247.59912125164
04/1990,8158.250630727345
05/1990,8813.707235122036
06/1990,8764.708368747457
07/1990,8444.554202134917
08/1990,7540.979826030521
09/1990,6655.41562273069
10/1990,6991.92993628055
11/1990,6702.8577784684385
12/1990,6795.476357630814
01/1991,7070.007006234907
02/1991,7748.047211210264
03/1991,8382.484092359708
04/1991,8483.55815362474
05/1991,8195.93659486576
06/1991,8203.470276566695
07/1991,8487.187447566317
08/1991,8293.555214815355
09/1991,8246.25517082164
10/1991,8350.789951203393
11/1991,7838.42618780552
12/1991,7662.375125948477
01/1992,7798.263786711865
02/1992,7750.718556440978
03/1992,7460.667209082662
04/1992,7525.584887095654
05/1992,8198.851793034373
06/1992,7422.610724775542
07/1992,6862.913954274185
08/1992,6513.741936202511
09/1992,6570.043261026004
10/1992,7171.41147637889
11/1992,7225.593884357948
12/1992,7229.611531880989
01/1993,7340.6246929673825
02/1993,8174.294868850295
03/1993,8553.507002193222
04/1993,8997.76988821589
05/1993,9523.041690583825
06/1993,9854.244017512707
07/1993,10413.60717541714
08/1993,10612.611061721487
09/1993,10458.806747093013
10/1993,11659.93563360222
11/1993,11316.535289384019
12/1993,13404.871942068556
01/1994,13690.70554842008
02/1994,13086.542339137637
03/1994,11979.868447377066
04/1994,11857.442087311518
05/1994,12137.537427365762
06/1994,11264.430205471563
07/1994,11615.677103154505
08/1994,11791.857128548876
09/1994,11424.038360763438
10/1994,11138.913405716186
11/1994,10614.304124817443
12/1994,10491.670374939355
01/1995,9994.402456551681
02/1995,10173.121733995871
03/1995,10001.466413938379
04/1995,10064.22506381718
05/1995,10669.780760782833
06/1995,10512.975117972515
07/1995,10843.346681942165
08/1995,11219.89697009669
09/1995,11326.380499898336
10/1995,11184.366534076878
11/1995,11685.487691847959
12/1995,12019.229344901063
01/1996,13438.005274819787
02/1996,13151.559758335588
03/1996,13109.136217541858
04/1996,13659.295038156604
05/1996,13710.348691460375
06/1996,13720.86470125853
07/1996,13097.41436903992
08/1996,13621.987279406307
09/1996,14448.79192471218
10/1996,14598.386998371723
11/1996,15671.536592676859
12/1996,16175.065798209711
01/1997,17079.084213328762
02/1997,17808.76457422
03/1997,16905.367717424742
04/1997,17450.233829282148
05/1997,18578.406816793322
06/1997,18850.296768451346
07/1997,20268.29688009999
08/1997,19912.091719593678
09/1997,20263.247339092315
10/1997,16905.510921766232
11/1997,16911.21396568442
12/1997,16969.90248632496
01/1998,16659.267084328403
02/1998,17683.10545901598
03/1998,17893.88943482239
04/1998,16927.586020082184
05/1998,16103.340756545409
06/1998,15755.36028081755
07/1998,14673.059145754161
08/1998,12887.360322410326
09/1998,13059.954554056858
10/1998,14177.959274059362
11/1998,14984.095827315676
12/1998,14613.52949173783
01/1999,14679.470415048794
02/1999,15044.746282620019
03/1999,15858.377813701189
04/1999,17735.8147863603
05/1999,17600.08840409743
06/1999,18130.279561708052
07/1999,17281.126502054147
08/1999,17329.73601484281
09/1999,16419.478516381172
10/1999,16414.583476061594
11/1999,17618.346670599527
12/1999,18518.60099488036
01/2000,18886.75078265858
02/2000,18250.45165247449
03/2000,19567.86492725028
04/2000,20626.758532137537
05/2000,19443.975486594532
06/2000,20314.534919363858
07/2000,21902.690140684797
08/2000,23471.030458941215
09/2000,23504.919498761843
10/2000,23290.288913231183
11/2000,23050.47303034748
12/2000,23247.325758923056
01/2001,23826.402412032967
02/2001,23993.255006996842
03/2001,23564.54939396536
04/2001,23928.995461544604
05/2001,25297.70526107621
06/2001,25822.337227261174
07/2001,24614.18369835518
08/2001,24129.55191031916
09/2001,21734.356057641333
10/2001,21922.505043749316
11/2001,23119.17704003849
12/2001,23923.439881246137
01/2002,24317.330524407247
02/2002,24458.62744999818
03/2002,25529.002587502266
04/2002,25436.224396517915
05/2002,25274.186637812712
06/2002,23807.51343901819
07/2002,22755.286530489087
08/2002,22417.32206233252
09/2002,21362.317363654187
10/2002,21028.982545746338
11/2002,21727.31898926328
12/2002,20697.129215918085
01/2003,19802.125229835514
02/2003,19821.94013290004
03/2003,19559.346370792635
04/2003,19922.866508322135
05/2003,20336.572054547763
06/2003,21269.909544689734
07/2003,22546.767083286733
08/2003,23775.846631316945
