Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
06/1994,10000
07/1994,9701.719379326521
08/1994,10027.978441187342
09/1994,9657.2647256692
10/1994,9800.378708566866
11/1994,9332.18250252872
12/1994,9575.213960437166
01/1995,9060.974478344986
02/1995,9038.03463763445
03/1995,9209.582135685287
04/1995,9431.483364171881
05/1995,9606.724602556318
06/1995,9782.380477007046
07/1995,10040.99550469657
08/1995,10281.197076907636
09/1995,10920.270267237005
10/1995,10881.140987098404
11/1995,11262.549103923571
12/1995,11607.472586217205
01/1996,12101.342205778752
02/1996,12344.762205519568
03/1996,12485.053139478627
04/1996,12717.866750098248
05/1996,13132.974788103887
06/1996,13313.916637215885
07/1996,12596.975407693908
08/1996,12641.459251655331
09/1996,13327.359570115608
10/1996,13484.754045938009
11/1996,14090.280440213612
12/1996,14256.897172276183
01/1997,15315.152865274396
02/1997,16038.971812963027
03/1997,15864.929363364337
04/1997,16917.633070914864
05/1997,17738.19831152203
06/1997,18937.8967902203
07/1997,20941.205895696476
08/1997,19778.01085008079
09/1997,20796.925468081645
10/1997,19371.889234201586
11/1997,19345.572119731685
12/1997,20393.123004814883
01/1998,21462.959899371566
02/1998,22823.51889165652
03/1998,24442.90806510334
04/1998,24837.692755033164
05/1998,24473.490708092286
06/1998,25582.645639051112
07/1998,26677.048817905972
08/1998,22485.59625494047
09/1998,21325.95895684754
10/1998,22048.353450734197
11/1998,24306.480980407265
12/1998,26468.807905757218
01/1999,28625.866048904798
02/1999,28475.19310991122
03/1999,30125.965795837772
04/1999,30355.692377191684
05/1999,29786.610293900358
06/1999,32384.9241512016
07/1999,31172.03969203975
08/1999,31410.955294141713
09/1999,31307.37649281885
10/1999,34091.08073935256
11/1999,37900.864521366144
12/1999,45012.98476929515
01/2000,43287.77320842786
02/2000,47242.146465663696
03/2000,49793.586704404515
04/2000,48604.92724142666
05/2000,43868.723360082215
06/2000,45101.01616382507
07/2000,44739.3439740583
08/2000,49258.40385686955
09/2000,44534.70311339285
10/2000,43698.07518612363
11/2000,40828.576005577066
12/2000,39349.45364866691
01/2001,37653.56507445068
02/2001,36008.5842120427
03/2001,35545.24462014488
04/2001,37032.517571414566
05/2001,38697.4948958207
06/2001,38059.62677739903
07/2001,36361.10827779619
08/2001,34246.550961631634
09/2001,31405.703106205357
10/2001,30912.325803075742
11/2001,32071.165435768027
12/2001,32877.20485038933
01/2002,33268.73115823899
02/2002,33126.62168493626
03/2002,34222.40380614275
04/2002,33075.8478867073
05/2002,32097.933408847395
06/2002,29031.56211075895
07/2002,27707.88873657871
08/2002,27684.866134547716
09/2002,26288.926490913924
10/2002,26128.460299544164
11/2002,25760.580659732084
12/2002,23539.71181097193
01/2003,22189.578356112062
02/2003,22153.095785388068
03/2003,21973.865905158185
04/2003,22940.910374523177
05/2003,22581.491128874313
06/2003,23576.029773747472
07/2003,24134.333029516798
08/2003,25341.087248141837
09/2003,24020.35376166443
10/2003,25471.8163559469
11/2003,24966.330265978293
12/2003,24512.777716994726
01/2004,25282.38269504674
02/2004,25709.19575783932
03/2004,27120.44027524598
04/2004,26819.968747599476
05/2004,26540.174754160766
06/2004,27468.983843686117
07/2004,26579.035800582627
08/2004,26759.819862627643
09/2004,26964.644664333464
10/2004,26746.364165871797
11/2004,27504.09111636881
12/2004,27469.913987765536
01/2005,28356.837548901294
02/2005,30116.739791864773
03/2005,30121.110314369053
04/2005,28870.589522680533
05/2005,31229.358063100233
06/2005,33207.97720711174
07/2005,34654.86066051508
08/2005,35439.61682328997
09/2005,37660.38866330224
10/2005,36168.183043542434
11/2005,38214.871260255815
12/2005,40537.559499466945
01/2006,42451.00490027666
02/2006,42297.85655666546
03/2006,42942.65346598173
04/2006,42899.552642575094
05/2006,39309.8867488986
06/2006,39551.9597202846
07/2006,39207.310979338865
08/2006,39072.81621340733
09/2006,39411.24224461513
10/2006,41700.39821328574
11/2006,41631.762048851044
12/2006,43115.39215397707
01/2007,44562.15874317495
02/2007,43591.2341316845
03/2007,44600.50603589236
04/2007,45295.13782906665
05/2007,47302.519553710394
06/2007,46822.195915080556
07/2007,45934.00397116325
08/2007,45382.18389369373
09/2007,47385.86612487842
10/2007,48622.586912071
11/2007,45553.90644930743
12/2007,46068.69985361463
01/2008,40787.78987892189
02/2008,40731.85181686169
03/2008,38549.615347208826
04/2008,41837.2160834392
05/2008,43129.26055201556
06/2008,41700.89607585527
07/2008,38654.559161720674
08/2008,39951.98793592414
09/2008,34284.16713324829
10/2008,33194.36988738529
11/2008,30961.111028599782
12/2008,29139.019842885435
01/2009,28866.4948274936
02/2009,26225.872297395545
03/2009,26269.78292289486
04/2009,27450.530011193532
05/2009,27225.587912882085
06/2009,26891.783065074098
07/2009,29085.9090326669
08/2009,29369.333449027687
09/2009,29893.497505401334
10/2009,29201.572443312692
11/2009,29983.71840485277
12/2009,32149.286085876312
01/2010,31000.02211438052
02/2010,32784.59670863191
03/2010,35364.17251046055
04/2010,36259.3111527362
05/2010,35664.22310371064
06/2010,34398.249501334045
07/2010,34980.131570870355
08/2010,34321.348581976716
09/2010,35604.77610042814
10/2010,36643.22821229646
11/2010,39232.17713442962
12/2010,40245.22864149303
01/2011,39567.85935717734
02/2011,40597.40560329295
03/2011,40020.186223972945
04/2011,40261.12831321516
05/2011,40882.37547842672
06/2011,40339.208718656795
07/2011,40328.276212335215
