Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
12/1978,10000
01/1979,10851.482733151823
02/1979,10862.033829001297
03/1979,11031.190068034713
04/1979,10972.781268465984
05/1979,11482.755829928128
06/1979,11046.793377718219
07/1979,11216.963980479331
08/1979,12033.417580188785
09/1979,13123.234542963095
10/1979,12882.89471942641
11/1979,13141.389366524845
12/1979,14510.021285809073
01/1980,16431.02246071072
02/1980,16891.970650373096
03/1980,14735.189570290711
04/1980,16321.280139236942
05/1980,17280.42731900134
06/1980,18842.76896082662
07/1980,19357.708136860416
08/1980,20904.036681450798
09/1980,21247.92954522147
10/1980,24549.56054014831
11/1980,24812.827116344248
12/1980,25688.377568642947
01/1981,25209.872516099294
02/1981,26088.70177033362
03/1981,26637.788739066917
04/1981,27804.647191638585
05/1981,30773.993785853512
06/1981,32378.127978872028
07/1981,30043.892389094755
08/1981,29153.53169627033
09/1981,23729.0468898985
10/1981,22810.270809054386
11/1981,25801.311830634804
12/1981,25692.08512756154
01/1982,24533.943935859636
02/1982,22563.242428729187
03/1982,21547.196319651728
04/1982,24627.467016443574
05/1982,24372.415521278675
06/1982,23078.11578610777
07/1982,22129.395005786682
08/1982,21201.320960838035
09/1982,20843.80075268445
10/1982,20205.559276233183
11/1982,20248.664076313547
12/1982,20806.33205006818
01/1983,22742.77814971709
02/1983,23659.648355689485
03/1983,23120.354086664178
04/1983,25664.311411262297
05/1983,25545.946705676404
06/1983,26463.24731650926
07/1983,28391.0671196014
08/1983,29132.224799046253
09/1983,28054.14846481308
10/1983,28016.711877211746
11/1983,30129.833132109667
12/1983,32208.026450434634
01/1984,34691.2974793423
02/1984,32442.819783114846
03/1984,31454.94924593753
04/1984,31975.868354994913
05/1984,29110.20116813395
06/1984,28181.613646139263
07/1984,28846.686272661667
08/1984,31512.32514242734
09/1984,32965.57644976985
10/1984,33653.53458132233
11/1984,33380.57664784881
12/1984,33937.37496916595
01/1985,37347.81854565964
02/1985,36829.98303969291
03/1985,37354.7544862001
04/1985,35332.308146220545
05/1985,36812.08169685799
06/1985,35684.31781897292
07/1985,37436.39226787197
08/1985,34877.45793266351
09/1985,36518.5404711766
10/1985,35712.13904843444
11/1985,33748.53520309724
12/1985,32603.01324929374
01/1986,33709.340453587916
02/1986,31592.83941431134
03/1986,31694.332149612354
04/1986,34657.94635565715
05/1986,34385.19759331876
06/1986,33098.81077581414
07/1986,30281.725243038574
08/1986,31437.207711138723
09/1986,33097.04059593691
10/1986,37519.30079425814
11/1986,38036.900959670595
12/1986,40218.95147938264
01/1987,38888.12766729553
02/1987,43176.94265120293
03/1987,44507.01941671448
04/1987,44968.970970903014
05/1987,47552.212985649465
06/1987,50397.93223182362
07/1987,56592.917259520524
08/1987,60535.83011669154
09/1987,61257.574678945995
10/1987,34316.52095156321
11/1987,33604.51288469458
12/1987,34409.24111583783
01/1988,34417.38374110152
02/1988,35245.36772355157
03/1988,38961.137166056105
04/1988,40594.155580975275
05/1988,43882.05063171775
06/1988,46295.06741805267
07/1988,50574.71033538763
08/1988,48894.97702135178
09/1988,47694.135103446795
10/1988,49555.644802220784
11/1988,47370.027265386445
12/1988,47646.147347513106
01/1989,54687.585201072194
02/1989,51058.36960814414
03/1989,52248.101812179215
04/1989,54263.017510707316
05/1989,54008.00401603457
06/1989,52704.22735763024
07/1989,54915.19856408595
08/1989,58152.62562829027
09/1989,60656.76519476782
10/1989,56376.369594427815
11/1989,55594.438907922886
12/1989,55635.29998754436
01/1990,53639.263950717206
02/1990,52224.133223136705
03/1990,52417.46251139032
04/1990,49045.09298660247
05/1990,52782.1205410982
06/1990,54785.078131250484
07/1990,55942.06163834637
08/1990,49363.16502058945
09/1990,44886.28278556475
10/1990,42997.77910539607
11/1990,41741.090686188814
12/1990,42201.817748668065
01/1991,44813.18363955179
02/1991,48242.211732268195
03/1991,53765.36982128831
04/1991,58505.485213942025
05/1991,59467.642918861915
06/1991,61411.38984382571
07/1991,65036.91741195719
08/1991,62777.073290173554
09/1991,61646.48272757288
10/1991,63836.49305199847
11/1991,60825.20264833324
12/1991,60261.36140398917
01/1992,62042.6650865601
02/1992,65389.90039303114
03/1992,66639.96133011987
04/1992,69141.24234843683
05/1992,72395.78919835784
06/1992,69590.68601830155
07/1992,64580.46902793173
08/1992,59339.64358556347
09/1992,59704.012124599925
10/1992,64109.548625490905
11/1992,66965.41430081552
12/1992,67441.68936887833
01/1993,69245.08030479008
02/1993,76402.5836426133
03/1993,78056.99165495561
04/1993,79237.6315449361
05/1993,82451.48936085816
06/1993,82258.98513806771
07/1993,88751.3115495343
08/1993,96162.11811571523
09/1993,94098.47358167256
10/1993,110573.01427743521
11/1993,110126.75567048289
12/1993,132908.35504318014
01/1994,130985.33895341046
02/1994,124103.00133901098
03/1994,108604.85230362664
04/1994,113948.14724100001
05/1994,115151.47305394078
06/1994,108232.97599785119
07/1994,110395.60732895897
08/1994,117919.58733960416
09/1994,113563.80176656942
10/1994,113159.84560734093
11/1994,105607.57907793934
12/1994,106072.00863796253
01/1995,94905.64765190585
02/1995,102603.14387464206
03/1995,99626.46530000889
04/1995,98986.34500167893
05/1995,107307.9052071334
06/1995,104370.73097850248
07/1995,107386.0486942578
08/1995,107677.9860280817
09/1995,110427.59047849958
10/1995,106765.06669357415
11/1995,107912.4839814112
12/1995,113899.18302302477
01/1996,122908.62842797436
02/1996,125456.9964610276
03/1996,126973.84636159483
04/1996,131549.66096081174
05/1996,131772.71268178595
06/1996,128281.45524466943
07/1996,119961.11865133827
08/1996,124187.28005549927
09/1996,128459.32885560075
10/1996,132358.09725704373
11/1996,137626.91188116418
12/1996,140940.84784256507
01/1997,143032.728427074
02/1997,151377.57495149737
03/1997,146022.13090643886
04/1997,143801.51455235019
05/1997,152272.9971811749
06/1997,157346.43927541413
07/1997,161290.34268258463
08/1997,142868.8349015193
09/1997,143860.58151343823
10/1997,111283.66711891661
11/1997,105544.55652738141
12/1997,108674.31674124158
01/1998,104298.87698408801
02/1998,120079.68184462881
03/1998,119098.15049316986
04/1998,110022.10978836243
05/1998,96189.66120400006
06/1998,91050.24416557568
07/1998,88135.72432228485
