Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
12/1987,10000
01/1988,11100.47162367223
02/1988,11461.291863905324
03/1988,12521.24277606616
04/1988,13112.040735068917
05/1988,13639.024029304032
06/1988,14627.42142857143
07/1988,14975.041011086478
08/1988,14901.700172304345
09/1988,15753.07362924282
10/1988,15265.137565858797
11/1988,14598.68405161508
12/1988,15003.067021276596
01/1989,15401.735235252812
02/1989,16786.342961251332
03/1989,18582.710906325494
04/1989,22232.787692307695
05/1989,23500.9133339589
06/1989,21022.225105082158
07/1989,21428.557606212882
08/1989,22265.66281313787
09/1989,25457.010833725857
10/1989,24842.337388939257
11/1989,23345.781876675603
12/1989,25118.1357840617
01/1990,25185.0597903843
02/1990,25826.914750061565
03/1990,22724.356101227768
04/1990,24052.303347625333
05/1990,25603.59185659827
06/1990,26667.84517393435
07/1990,28143.65046329295
08/1990,23473.035872198674
09/1990,20509.825072046115
10/1990,19539.270185512367
11/1990,18153.44045316785
12/1990,19144.441340537385
01/1991,20743.686824769436
02/1991,23416.594515223496
03/1991,26535.33093074272
04/1991,28244.27517742202
05/1991,30867.90812844958
06/1991,30875.518511450387
07/1991,32518.57079822809
08/1991,32473.225382263005
09/1991,30366.882306294403
10/1991,31564.328840125396
11/1991,29932.291908202973
12/1991,32238.12275872675
01/1992,36223.65491289199
02/1992,38668.30470085471
03/1992,41045.352173559775
04/1992,40392.63990659474
05/1992,39478.46111681542
06/1992,34544.526822157444
07/1992,33258.98393861893
08/1992,30908.60505734027
09/1992,31731.27442063839
10/1992,34819.05530590558
11/1992,36700.48912973148
12/1992,37754.884335596515
01/1993,38678.38220024723
02/1993,40306.83750000001
03/1993,41844.76530300459
04/1993,41350.5787324752
05/1993,42607.48547711023
06/1993,45151.18888512943
07/1993,48309.35912177057
08/1993,52788.822780986244
09/1993,52544.05891988739
10/1993,57930.63459646094
11/1993,62118.89202269102
12/1993,72354.82533888545
01/1994,74670.19040948278
02/1994,73059.72934967352
03/1994,65074.81624178712
04/1994,63958.065419082755
05/1994,64725.34054332875
06/1994,61919.19834235454
07/1994,63742.243131147545
08/1994,71735.80221565733
09/1994,71773.59483682417
10/1994,69131.97204968944
11/1994,66512.037837401
12/1994,62421.07793171698
01/1995,54639.949511269086
02/1995,52655.845829338454
03/1995,50931.32967286131
04/1995,52198.03594456163
05/1995,55824.32987608996
06/1995,55522.304399271845
07/1995,56108.94971137266
08/1995,56446.10546072449
09/1995,56898.94907298756
10/1995,53869.59336157105
11/1995,53023.258207918494
12/1995,56251.91600156801
01/1996,60981.89733375655
02/1996,60357.15624900241
03/1996,60788.451491465945
04/1996,63757.96071428571
05/1996,64243.23404705691
06/1996,64143.07386703288
07/1996,58851.26749403342
08/1996,59810.475206937335
09/1996,60851.492175572515
10/1996,59412.83632447954
11/1996,59633.0211968504
12/1996,61228.55589537224
01/1997,67183.88973214287
02/1997,73113.50413251661
03/1997,72019.34976435678
04/1997,72539.08831168832
05/1997,74386.72331379581
06/1997,79248.1377388535
07/1997,82669.0031096563
08/1997,74207.37301038063
09/1997,74263.34255532283
10/1997,60950.89200643776
11/1997,57518.35307820301
12/1997,60493.72218724705
01/1998,57031.48136903119
02/1998,62845.412007711384
03/1998,65814.32496084031
04/1998,64656.53191177816
05/1998,54946.14041095891
06/1998,49539.67483660131
07/1998,51231.3137033667
08/1998,36269.79267784323
09/1998,36771.157477321816
10/1998,39141.80467592978
11/1998,43623.963564763304
12/1998,42717.47567199729
01/1999,43401.64158468025
02/1999,45279.56770738791
03/1999,52563.693502141134
04/1999,59875.14088893083
05/1999,60329.542482785
06/1999,68009.00141363284
07/1999,63897.13858238265
08/1999,65216.391771493436
09/1999,62465.79172995781
10/1999,65089.716138907505
