Data,UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc (IE00B3Z3FS74)
12/1987,10000
01/1988,10362.212139605464
02/1988,11282.110059171597
03/1988,11476.420852926869
04/1988,11556.986830015314
05/1988,11443.912967032968
06/1988,11860.614285714288
07/1988,12692.719556541022
08/1988,12268.07996735286
09/1988,12705.951237958045
10/1988,13206.140200210748
11/1988,13111.622940035424
12/1988,13247.062765957447
01/1989,14271.517099719102
02/1989,14363.729488091005
03/1989,14380.523217321284
04/1989,14824.704615384617
05/1989,15097.170723468142
06/1989,15156.392567825753
07/1989,16134.11013248058
08/1989,15999.009408053438
09/1989,16736.539218087608
10/1989,15588.741378059836
11/1989,15970.50144772118
12/1989,15816.957840616964
01/1990,14648.831209449343
02/1990,13848.459492735781
03/1990,13221.54347281383
04/1990,12888.758410290235
05/1990,14003.356298158811
06/1990,14003.615335619792
07/1990,13718.972344975053
08/1990,11882.573531193215
09/1990,10658.782997118155
10/1990,11298.613515901061
11/1990,10889.580588829558
12/1990,11256.10995911215
01/1991,11701.476679841897
02/1991,12589.058648240121
03/1991,13320.208712002508
04/1991,14148.504439676513
05/1991,14680.777571500252
06/1991,14299.854233171407
07/1991,15000.589941804916
08/1991,14640.99617737003
09/1991,14599.65963984801
10/1991,14834.15830721003
11/1991,13664.873024696259
12/1991,14213.518422266645
01/1992,14099.681533101042
02/1992,14193.289601139599
03/1992,13924.026879011944
04/1992,13983.490232707947
05/1992,14241.92158597267
06/1992,13341.067346938777
07/1992,12747.02100109609
08/1992,12704.204986110122
09/1992,12886.939833843464
10/1992,13094.690390162441
11/1992,14184.781931413783
12/1992,14309.697963142578
01/1993,14640.787490729293
02/1993,15358.471875000001
03/1993,16320.996452215242
04/1993,16481.739034188733
05/1993,16910.51564066738
06/1993,17291.08837760108
07/1993,18398.230914381445
08/1993,19417.90310084407
09/1993,18333.239570002563
10/1993,19097.764143288732
11/1993,18591.240648821127
12/1993,19588.08257287144
01/1994,21170.337446120684
02/1994,20784.073316039
03/1994,19439.825282522994
04/1994,20026.383605693194
05/1994,19711.498710453914
06/1994,19297.242980378887
07/1994,19116.460032786887
08/1994,19820.134859675036
09/1994,19147.3161714564
10/1994,19262.737410415666
11/1994,18700.186326167764
12/1994,19149.219099455713
01/1995,18376.15535988367
02/1995,18369.127133269412
03/1995,18464.03424973122
04/1995,18769.49633925881
05/1995,19269.91073887104
06/1995,19113.35638652912
07/1995,19805.279226328807
08/1995,19958.17380088051
09/1995,20770.358554329967
10/1995,20105.485991528683
11/1995,20782.75693447557
12/1995,21747.617781262245
01/1996,22500.964846849703
02/1996,22724.48341580207
03/1996,23059.58867442973
04/1996,23824.06607142857
05/1996,24137.996922575916
06/1996,24082.15972211002
07/1996,22830.453508353217
08/1996,22902.49305478912
09/1996,23954.054198473277
10/1996,24124.658722182336
11/1996,25088.199023622044
12/1996,25272.04940040241
01/1997,26394.930059523806
02/1997,27920.459839530664
03/1997,27679.54822831209
04/1997,28724.002597402596
05/1997,30344.69273029481
06/1997,32255.834076433115
07/1997,34652.377250409154
08/1997,33140.15501730103
09/1997,33992.02500682997
10/1997,31387.780847639482
11/1997,31212.12878535773
12/1997,32475.109973918512
01/1998,33953.44471432514
02/1998,36196.271550537036
03/1998,37879.80088454804
04/1998,37975.89658643726
05/1998,36687.93287671233
06/1998,37620.149019607845
07/1998,37721.47037306642
08/1998,32304.33754417761
09/1998,31409.906384449234
10/1998,33012.21086612862
11/1998,36029.61362897012
12/1998,37462.34137461721
01/1999,39477.16755094869
02/1999,39763.39762207297
03/1999,42619.54842673616
04/1999,45069.232480890794
05/1999,44062.93198163732
06/1999,46829.969268009285
07/1999,45042.39459510005
08/1999,45503.17601437623
09/1999,44624.30430379745
10/1999,47835.21903759686
11/1999,51060.525482816665
12/1999,55595.09581923153
01/2000,53965.93034419363
02/2000,54578.41890055588
03/2000,59146.62131267663
04/2000,59403.73987892128
05/2000,56506.23772976457
06/2000,56874.803997488474
07/2000,57073.74294060368
08/2000,61074.802380417685
09/2000,58648.871808328564
10/2000,59878.812189616234
11/2000,54442.21754951634
12/2000,51657.55815153142
01/2001,53032.01121274076
02/2001,48806.291911764696
03/2001,47664.97601902172
04/2001,50883.307908967996
05/2001,52665.709245283004
06/2001,51052.17502358489
07/2001,48669.26412335807
08/2001,44389.314522821565
09/2001,40453.85821925308
10/2001,41720.13443928333
11/2001,45002.61847606202
12/2001,45862.52985362532
01/2002,45514.84251476205
02/2002,45107.39244018031
03/2002,46749.88679504813
04/2002,43842.00812611011
05/2002,42131.335953978894
06/2002,37228.25828571427
07/2002,34775.54093836246
08/2002,34688.14908979965
09/2002,30798.88630831642
10/2002,33053.44361313867
11/2002,34640.24533091567
12/2002,31227.15676551921
01/2003,29393.64153106508
02/2003,28969.58547579298
03/2003,28560.75744837081
04/2003,30451.6787709999
05/2003,30340.27166300118
06/2003,31991.907692307683
07/2003,33016.78817812334
08/2003,35010.01762606388
09/2003,33041.36199794026
10/2003,35136.24486319049
11/2003,34568.08199099549
12/2003,34908.90940617577
01/2004,36212.47005813953
02/2004,36779.75078112416
03/2004,37164.49986910994
04/2004,37153.31756926423
05/2004,36695.77009345793
06/2004,37569.83531057177
07/2004,36728.552952903054
08/2004,36747.274510775314
09/2004,36620.42514304133
10/2004,36557.81034780559
11/2004,36947.30053403535
12/2004,37468.69745246309
01/2005,38330.99005753738
02/2005,39012.347861507114
03/2005,39031.01116939215
04/2005,38216.7988423246
05/2005,40936.834206471474
06/2005,42186.41839232549
07/2005,43753.980550731816
08/2005,43726.94579439251
09/2005,45638.46576980567
10/2005,44487.91923812692
11/2005,47126.33882232983
12/2005,48182.38169026023
01/2006,49225.50103977553
02/2006,50179.42367999999
03/2006,50286.79109385326
04/2006,50190.56640344578
05/2006,47013.032126204525
06/2006,47585.03206166914
07/2006,47718.871308843096
08/2006,48659.952143802024
09/2006,49983.20004739335
10/2006,51720.6336011342
11/2006,51176.7064090909
12/2006,52450.878041002274
01/2007,53867.51338582676
02/2007,52562.135583983036
03/2007,53207.51411623365
04/2007,54426.15148842335
05/2007,56728.63542704228
06/2007,56364.31726027396
07/2007,54698.47747866052
08/2007,54578.30394746442
09/2007,55602.36675364975
10/2007,56710.88883505225
11/2007,53073.1614524761
12/2007,52642.307601385764
01/2008,47858.4151311365
02/2008,47075.93357948176
03/2008,44513.23797116113
04/2008,47852.23285714284
05/2008,48754.863257673445
06/2008,44040.639964476
07/2008,43331.37809237075
08/2008,44938.059599592794
09/2008,40527.74602530937
10/2008,36446.53545504428
11/2008,34155.55907912312
12/2008,32382.492519939635
01/2009,32170.840028089875
02/2009,29435.862100601065
03/2009,30286.209873760134
04/2009,33973.34481355931
05/2009,35215.512938005384
06/2009,34942.99947643978
07/2009,38020.44576319139
08/2009,39026.223388452905
09/2009,39794.72575291947
10/2009,38772.11249999999
11/2009,39784.58704652864
12/2009,42359.89304456475
01/2010,41814.64738651008
02/2010,43599.044613117156
03/2010,46738.78210549743
04/2010,47418.71481787456
05/2010,46483.88858373282
06/2010,45200.384988998434
07/2010,46051.70181148294
08/2010,45680.341230283906
09/2010,46515.503194607256
10/2010,47479.02801472179
11/2010,49511.427881212476
12/2010,51703.83488998651
01/2011,51260.991717791396
02/2011,52233.01179702182
03/2011,50831.99176462306
04/2011,50614.55236877523
05/2011,51210.83036496349
06/2011,50186.55372587005
07/2011,50054.023969144444
08/2011,45807.830283737014
09/2011,44410.17027327259
10/2011,47430.94454681807
11/2011,48034.93481889997
12/2011,49729.66255506606
01/2012,51688.36311475408
02/2012,53236.22423566167
03/2012,53965.10336927223
04/2012,53956.56406841228
05/2012,52382.13233895025
06/2012,54178.417601270834
07/2012,56306.488554216856
08/2012,56066.52160811987
09/2012,56428.52143851506
10/2012,55795.05342876933
11/2012,56565.99148313567
12/2012,56962.277353342426
