Data,IWDA + EMIM
12/1978,10000
01/1979,10398.930905250509
02/1979,10248.849017195265
03/1979,10675.226277917642
04/1979,10778.50358279821
05/1979,10708.880944697637
06/1979,10889.84575852203
07/1979,10578.590506604152
08/1979,11036.524853554605
09/1979,11162.378098026924
10/1979,10376.16510293369
11/1979,10651.72398360166
12/1979,10690.898083358965
01/1980,11222.644152383618
02/1980,11331.976524858843
03/1980,10648.959921826556
04/1980,11481.555130843206
05/1980,11524.620863031954
06/1980,11899.479614256963
07/1980,12112.443054965368
08/1980,12593.610215946585
09/1980,12940.508191361161
10/1980,13651.988424485868
11/1980,14720.80969969001
12/1980,14852.777656733124
01/1981,14463.167712691038
02/1981,15492.392711318946
03/1981,16052.980807362164
04/1981,16486.545396880545
05/1981,17151.11818447906
06/1981,17776.102685456586
07/1981,18007.194521247322
08/1981,18130.394515906635
09/1981,16005.212422046534
10/1981,16005.92215478959
11/1981,17009.80602398687
12/1981,16876.439053870596
01/1982,16881.13539235484
02/1982,16385.868405302343
03/1982,16227.944726131596
04/1982,17285.722889362583
05/1982,16273.178335734792
06/1982,16438.284350643287
07/1982,16573.143717930932
08/1982,17882.283764432374
09/1982,18131.556845189443
10/1982,19604.697884395795
11/1982,20986.4713664931
12/1982,21023.746731049585
01/1983,21318.754321023876
02/1983,22163.51841819067
03/1983,23056.578701356586
04/1983,25056.054263461087
05/1983,24962.871570881693
06/1983,26533.10565275236
07/1983,26410.84284460705
08/1983,27411.097731117163
09/1983,27981.25780028119
10/1983,27194.328512790005
11/1983,28639.75622804067
12/1983,29738.385513379875
01/1984,30654.85931613871
02/1984,29221.455242028762
03/1984,29503.60589201104
04/1984,29913.11483894515
05/1984,28694.774730638917
06/1984,28934.331593727657
07/1984,28967.16865512922
08/1984,32229.765663017726
09/1984,33621.36624044726
10/1984,34594.62624265953
11/1984,33559.79206469479
12/1984,35609.46600893423
01/1985,38486.35872300831
02/1985,39993.182541852475
03/1985,41469.22422550362
04/1985,38489.090820548394
05/1985,40743.73145553946
06/1985,40742.042460840166
07/1985,39548.87472097862
08/1985,38498.9529361696
09/1985,39409.12599100308
10/1985,38972.698766852656
11/1985,40349.80151346892
12/1985,41237.076489579886
01/1986,40978.07138919158
02/1986,42907.85004137818
03/1986,45797.31497619826
04/1986,47298.08927667743
05/1986,46334.346426348624
06/1986,48381.8912958277
07/1986,47335.68457116948
08/1986,49922.31551687076
09/1986,47558.040732892434
10/1986,46216.703726404754
11/1986,48660.15998817887
12/1986,48918.98842075373
01/1987,51380.59265631078
02/1987,52132.90808807597
03/1987,55265.51344098957
04/1987,57738.690406181646
05/1987,57113.993754648596
