month_year,price_eur,month_return,month_return_after_TER
12/1986,1000.000000,0.11000500,0.10954375
01/1987,1110.005000,-0.00667204,-0.00708481
02/1987,1102.599000,0.01760404,0.01718118
03/1987,1122.009200,0.14527198,0.14479607
04/1987,1285.005700,0.00880401,0.00838481
05/1987,1296.318900,0.00166703,0.00125080
06/1987,1298.479900,0.04791495,0.04747950
07/1987,1360.696500,-0.00125796,-0.00167298
08/1987,1358.984800,-0.00749103,-0.00790346
09/1987,1348.804600,-0.00446195,-0.00487564
10/1987,1342.786300,0.09765299,0.09719687
11/1987,1473.913400,0.06959900,0.06915454
12/1987,1576.496300,-0.03674503,-0.03714530
01/1988,1518.567900,0.01102703,0.01060691
02/1988,1535.313200,-0.00192404,-0.00233878
03/1988,1532.359200,-0.03928400,-0.03968322
04/1988,1472.162000,0.05587999,0.05544123
05/1988,1554.426400,0.12931201,0.12884273
06/1988,1755.432400,-0.01761498,-0.01802320
07/1988,1724.510500,0.00781799,0.00739920
08/1988,1737.992700,0.00660101,0.00618272
09/1988,1749.465200,0.02220301,0.02177824
10/1988,1788.308600,0.00071699,0.00030115
11/1988,1789.590800,0.01050000,0.01008009
12/1988,1808.381500,0.03365800,0.03322847
01/1989,1869.248000,-0.03598003,-0.03638062
02/1989,1801.992400,0.02554905,0.02512289
03/1989,1848.031600,-0.01696605,-0.01737454
04/1989,1816.677800,0.07305203,0.07260613
05/1989,1949.389800,-0.00167801,-0.00209285
06/1989,1946.118700,0.00036000,-0.00005569
07/1989,1946.819300,-0.03916696,-0.03956623
08/1989,1870.568300,-0.01317701,-0.01358708
09/1989,1845.919800,-0.03020402,-0.03060701
10/1989,1790.165600,0.01312700,0.01270600
11/1989,1813.665100,0.03110403,0.03067556
12/1989,1870.077400,0.00077499,0.00035913
01/1990,1871.526700,0.00441501,0.00399763
02/1990,1879.789500,0.01231500,0.01189434
03/1990,1902.939100,0.02985098,0.02942303
04/1990,1959.743700,-0.03153601,-0.03193845
05/1990,1897.941200,0.00223300,0.00181653
06/1990,1902.179300,0.03627502,0.03584440
07/1990,1971.180900,0.04927397,0.04883795
08/1990,2068.308800,0.02289803,0.02247297
09/1990,2115.669000,0.02078600,0.02036182
10/1990,2159.645300,0.00735098,0.00693238
11/1990,2175.520800,-0.00941696,-0.00982859
12/1990,2155.034000,-0.04928201,-0.04967707
01/1991,2048.829600,0.00236398,0.00194746
02/1991,2053.673000,0.05614302,0.05570415
03/1991,2168.972400,0.00580399,0.00538604
04/1991,2181.561100,-0.02381299,-0.02421864
05/1991,2129.611600,0.02867997,0.02825251
06/1991,2190.688800,-0.01846497,-0.01887284
07/1991,2150.237800,-0.00502503,-0.00543848
08/1991,2139.432800,0.04439999,0.04396600
09/1991,2234.423600,-0.01457799,-0.01498747
10/1991,2201.850200,0.01460499,0.01418338
11/1991,2234.008200,0.10625803,0.10579833
12/1991,2471.389500,-0.06626802,-0.06665602
01/1992,2307.615400,-0.02321899,-0.02362488
02/1992,2254.034900,-0.00302999,-0.00344427
03/1992,2247.205200,-0.03155302,-0.03195545
04/1992,2176.299100,0.00271801,0.00230134
05/1992,2182.214300,0.05838501,0.05794521
06/1992,2309.622900,0.07396497,0.07351869
07/1992,2480.454100,0.05150202,0.05106508
08/1992,2608.202500,-0.02083899,-0.02124587
09/1992,2553.850200,-0.00471402,-0.00512760
10/1992,2541.811300,0.01294199,0.01252107
11/1992,2574.707400,-0.01565599,-0.01606503
12/1992,2534.397800,-0.00905000,-0.00946178
01/1993,2511.461500,0.06874400,0.06829989
02/1993,2684.109400,-0.00481199,-0.00522553
03/1993,2671.193500,0.03171399,0.03128527
04/1993,2755.907700,0.01249000,0.01206927
05/1993,2790.329000,0.01120900,0.01078880
06/1993,2821.605800,0.03137699,0.03094841
07/1993,2910.139300,-0.00145701,-0.00187195
08/1993,2905.899200,-0.00889098,-0.00930283
09/1993,2880.062900,-0.00920001,-0.00961173
10/1993,2853.566300,-0.00909101,-0.00950277
11/1993,2827.624500,0.01660100,0.01617856
12/1993,2874.565900,-0.03098200,-0.03138467
01/1994,2785.506100,-0.02150500,-0.02191161
02/1994,2725.603800,0.02089500,0.02047078
03/1994,2782.555300,-0.00833601,-0.00874809
04/1994,2759.359900,0.02119002,0.02076567
05/1994,2817.830800,0.03475500,0.03432502
06/1994,2915.764500,-0.01991200,-0.02031927
07/1994,2857.705800,-0.02988702,-0.03029014
08/1994,2772.297500,0.01025803,0.00983823
09/1994,2800.735800,0.00872799,0.00830882
10/1994,2825.180600,0.01370001,0.01327877
11/1994,2863.885600,-0.00652303,-0.00693586
12/1994,2845.204400,-0.02674999,-0.02715442
01/1995,2769.095200,0.02927101,0.02884330
02/1995,2850.149400,0.07150401,0.07105875
03/1995,3053.946500,0.01293700,0.01251608
04/1995,3093.455400,0.01476501,0.01434333
05/1995,3139.130300,-0.01575500,-0.01616400
06/1995,3089.673300,-0.01778201,-0.01819016
07/1995,3034.732700,0.01995500,0.01953117
08/1995,3095.290800,-0.01281201,-0.01322223
09/1995,3055.633900,0.00463302,0.00421555
10/1995,3069.790700,0.01807299,0.01764994
11/1995,3125.271000,0.03693299,0.03650210
12/1995,3240.696600,0.02613901,0.02571261
01/1996,3325.405200,-0.04946600,-0.04986099
02/1996,3160.910700,0.00068401,0.00026818
03/1996,3163.072800,0.03743799,0.03700689
04/1996,3281.491900,-0.01701799,-0.01742646
05/1996,3225.647500,0.00343500,0.00301803
06/1996,3236.727600,0.00024098,-0.00017466
07/1996,3237.507600,-0.00320598,-0.00362019
