month_year,price_eur,month_return,month_return_after_TER
12/1978,10000.0,,
01/1979,10212.836208,0.02128362,0.02115606
02/1979,10238.087553,0.00247251,0.0023473
03/1979,10518.227929,0.02736257,0.02723425
04/1979,10614.407671,0.0091441,0.00901806
05/1979,10577.746846,-0.00345387,-0.00357834
06/1979,10669.450829,0.00866952,0.00854354
07/1979,10339.013966,-0.03097037,-0.0310914
08/1979,10701.596576,0.03506936,0.03494008
09/1979,11089.945947,0.03628892,0.03615949
10/1979,10210.879617,-0.07926696,-0.07938196
11/1979,10387.984556,0.01734473,0.01721766
12/1979,10543.239279,0.01494561,0.01481884
01/1980,11079.189214,0.05083352,0.05070227
02/1980,11313.255969,0.0211267,0.02099917
03/1980,10427.110062,-0.07832811,-0.07844322
04/1980,11487.334653,0.10167962,0.10154202
05/1980,11555.728635,0.00595386,0.00582822
06/1980,12110.271484,0.04798857,0.04785767
07/1980,11953.13589,-0.0129754,-0.01309868
08/1980,12592.180389,0.0534625,0.05333092
09/1980,13010.817274,0.03324578,0.03311673
10/1980,13788.961675,0.0598075,0.05967513
11/1980,14053.9796,0.01921957,0.01909227
12/1980,14390.436909,0.02394036,0.02381247
01/1981,14145.039397,-0.01705282,-0.01717559
02/1981,14896.062859,0.05309448,0.05296295
03/1981,15486.349347,0.03962701,0.03949717
04/1981,16228.604348,0.04792963,0.04779875
05/1981,16622.636714,0.02428011,0.02415218
06/1981,17255.276227,0.03805891,0.03792926
07/1981,17050.774015,-0.01185158,-0.01197499
08/1981,17913.149726,0.05057692,0.05044571
09/1981,15340.446287,-0.14362094,-0.1437279
10/1981,15051.88231,-0.01881066,-0.01893321
11/1981,16525.967877,0.09793364,0.09779651
12/1981,16510.3088,-0.00094754,-0.00107232
01/1982,16478.129119,-0.00194907,-0.00207372
02/1982,15856.563691,-0.03772063,-0.03784082
03/1982,15339.735098,-0.03259398,-0.03271481
04/1982,16456.775709,0.07282007,0.07268608
05/1982,15660.532985,-0.04838388,-0.04850274
06/1982,15243.451967,-0.02663262,-0.02675419
07/1982,15486.061171,0.01591563,0.01578875
08/1982,15814.471643,0.02120684,0.0210793
09/1982,15883.764186,0.00438159,0.00425614
10/1982,16304.451648,0.02648538,0.02635717
11/1982,17815.942987,0.09270421,0.09256773
12/1982,18503.092905,0.03856938,0.03843967
01/1983,18346.025948,-0.00848869,-0.00861252
02/1983,19089.303887,0.04051438,0.04038443
03/1983,19894.667865,0.04218928,0.04205911
04/1983,21449.001528,0.07812815,0.0779935
05/1983,21556.094659,0.00499292,0.0048674
06/1983,22717.393616,0.05387335,0.05374172
07/1983,23089.420733,0.01637631,0.01624937
08/1983,23520.274898,0.01866024,0.01853301
09/1983,24261.490835,0.03151391,0.03138508
10/1983,23587.42841,-0.02778322,-0.02790465
11/1983,25002.999341,0.06001379,0.05988139
12/1983,26582.502162,0.06317253,0.06303975
01/1984,28070.58389,0.05597975,0.05584786
