month_year,price_eur,month_return,month_return_after_TER
12/1978,10000.0,0.04853545,0.0484394
01/1979,10485.354546,0.08056069,0.08046169
02/1979,11330.061915,-0.04478025,-0.04486776
03/1979,10822.698919,0.03311977,0.03302512
04/1979,11181.144221,0.13189045,0.13178675
05/1979,12655.830314,-0.00114773,-0.00123924
06/1979,12641.304837,0.03009664,0.03000227
07/1979,13021.76558,0.06621566,0.06611798
08/1979,13884.010396,0.24718491,0.24707065
09/1979,17315.928286,-0.03417497,-0.03426345
10/1979,16724.157003,0.08380672,0.08370743
11/1979,18125.753795,0.23254147,0.23242856
12/1979,22340.743254,0.23401058,0.23389753
01/1980,27568.71358,-0.01536191,-0.01545211
02/1980,27145.205515,-0.18242899,-0.18250389
03/1980,22193.133007,0.06017079,0.06007366
04/1980,23528.511247,-0.01089089,-0.01098151
05/1980,23272.264781,0.20260263,0.20249246
06/1980,27987.286923,-0.07160901,-0.07169406
07/1980,25983.145024,0.04819317,0.04809714
08/1980,27235.355157,0.05385014,0.05375359
09/1980,28701.982852,-0.03277375,-0.03286236
10/1980,27761.311257,0.01993711,0.01984368
11/1980,28314.791711,-0.01872209,-0.01881199
12/1980,27784.679589,-0.13813102,-0.13820998
01/1981,23946.753331,0.03129524,0.03120076
02/1981,24696.17277,0.05139767,0.05130135
03/1981,25965.498432,-0.03529905,-0.03538743
04/1981,25048.940992,0.05347373,0.05337722
05/1981,26388.401267,-0.07700326,-0.07708782
06/1981,24356.40827,-0.01783066,-0.01792064
07/1981,23922.117391,0.07528374,0.07518524
08/1981,25723.063956,-0.03689731,-0.03698554
09/1981,24773.952204,-0.03349733,-0.03358587
10/1981,23944.090958,-0.0396131,-0.03970108
11/1981,22995.591333,-0.02162217,-0.0217118
12/1981,22498.376696,-0.01763073,-0.01772073
01/1982,22101.713933,-0.03174481,-0.03183351
02/1982,21400.099243,-0.10129668,-0.10137902
03/1982,19232.340158,0.14643058,0.14632556
04/1982,22048.542947,-0.13031295,-0.13039263
05/1982,19175.332233,0.03292986,0.03283523
06/1982,19806.773186,0.10326467,0.10316359
07/1982,21852.113002,0.20750818,0.20739756
08/1982,26386.605267,-0.02611703,-0.02620625
09/1982,25697.465445,0.07884011,0.07874127
10/1982,27723.456321,0.04746165,0.04736569
11/1982,29039.257217,-0.01468928,-0.01477955
12/1982,28612.691352,0.10718119,0.10707975
01/1983,31679.433551,-0.16710001,-0.16717631
02/1983,26385.799907,0.02049157,0.02039808
03/1983,26926.48631,0.0499489,0.04985272
04/1983,28271.434809,0.02564858,0.02555462
05/1983,28996.556901,-0.01993819,-0.02002797
06/1983,28418.418111,0.02825455,0.02816035
07/1983,29221.367644,0.01353476,0.0134419
08/1983,29616.871727,-0.02164085,-0.02173048
09/1983,28975.937473,-0.07225615,-0.07234114
10/1983,26882.247747,0.08861911,0.08851938
11/1983,29264.528741,-0.03408878,-0.03417727
12/1983,28266.936547,0.00172959,0.00163782
01/1984,28315.826835,0.02256078,0.0224671
02/1984,28954.654016,-0.04963081,-0.04971787
03/1984,27517.611175,-0.01552677,-0.01561696
04/1984,27090.351533,0.06049457,0.06039742
05/1984,28729.170806,-0.02926678,-0.02935571
06/1984,27888.360368,-0.04759587,-0.04768312
07/1984,26560.989562,0.02875907,0.02866482
08/1984,27324.858916,0.03379676,0.03370205
09/1984,28248.350553,-0.01210101,-0.01219151
10/1984,27906.517056,-0.03921789,-0.03930591
11/1984,26812.082403,-0.025789,-0.02587825
12/1984,26120.62551,0.01901489,0.01892154
01/1985,26617.306425,-0.02655597,-0.02664515
02/1985,25910.458051,0.14693384,0.14682877
03/1985,29717.581221,-0.09141141,-0.09149465
04/1985,27001.055102,-0.01595286,-0.01604301
05/1985,26570.311098,-0.00559269,-0.00568379
06/1985,26421.711482,-0.01948511,-0.01957494
07/1985,25906.881496,-0.01726701,-0.01735704
08/1985,25459.547138,-0.00656483,-0.00665584
09/1985,25292.409438,-0.06322194,-0.06330776
10/1985,23693.374262,-0.01863192,-0.01872182
11/1985,23251.921245,-0.01837631,-0.01846624
12/1985,22824.636657,0.04986058,0.0497644
01/1986,23962.686219,-0.0730856,-0.07317051
02/1986,22211.359015,-0.01063841,-0.01072905
03/1986,21975.065398,0.0104892,0.01039662
04/1986,22205.566156,-0.02454266,-0.02463203
05/1986,21660.582443,0.01454658,0.01445364
06/1986,21975.669929,0.00092042,0.00082873
