month_year,price_eur,month_return,month_return_after_TER
01/1985,10000.0,-0.01364182,-0.01382244
02/1985,9863.581753,0.01883868,0.01865211
03/1985,10049.398596,0.01758045,0.01739412
04/1985,10226.071569,0.03465279,0.03446333
05/1985,10580.4335,0.01248045,0.01229504
06/1985,10712.482023,0.00498515,0.00480112
07/1985,10765.885377,0.01452303,0.01433725
08/1985,10922.23864,0.00993868,0.00975374
09/1985,11030.791265,0.0058777,0.00569351
10/1985,11095.626922,0.01847772,0.01829122
11/1985,11300.64885,0.02217949,0.02199231
12/1985,11551.291485,0.00654277,0.00635846
01/1986,11626.868969,0.03874865,0.03855844
02/1986,12077.394421,0.04345969,0.04326862
03/1986,12602.274229,0.00896517,0.00878041
04/1986,12715.255762,-0.01934813,-0.0195277
05/1986,12469.239313,0.02234195,0.02215475
06/1986,12747.826482,0.00742591,0.00724143
07/1986,12842.490684,0.02118415,0.02099716
08/1986,13114.547926,-0.01579713,-0.01597736
09/1986,12907.37566,0.01141882,0.01123361
10/1986,13054.762605,0.01014368,0.00995871
11/1986,13187.185957,0.0071224,0.00693798
12/1986,13281.110364,0.0154579,0.01527196
01/1987,13486.408481,0.01362449,0.01343888
02/1987,13670.153897,0.00470029,0.00451631
03/1987,13734.407582,-0.0008173,-0.00100027
04/1987,13723.182422,0.00202552,0.00184203
05/1987,13750.978996,-0.00232055,-0.00250324
06/1987,13719.06916,-0.01019175,-0.010373
07/1987,13579.247855,-0.00385645,-0.00403886
08/1987,13526.880214,-0.0178744,-0.01805424
09/1987,13285.095394,0.03682782,0.03663796
10/1987,13774.356526,0.00925141,0.0090666
11/1987,13901.788726,0.00904811,0.00886334
12/1987,14027.573649,0.02623361,0.02604569
01/1988,14395.567541,0.00973541,0.00955052
02/1988,14535.714356,-0.00021783,-0.00040091
03/1988,14532.548032,-0.00165275,-0.00183556
04/1988,14508.529346,-0.00355709,-0.00373955
05/1988,14456.921229,0.00763151,0.007447
06/1988,14567.249362,-0.00210385,-0.00228658
07/1988,14536.60211,-0.00260906,-0.0027917
08/1988,14498.675273,0.01950313,0.01931644
09/1988,14781.444751,0.0189672,0.01878062
10/1988,15061.807428,-0.00476503,-0.00494728
11/1988,14990.037424,0.00331122,0.0031275
12/1988,15039.672754,0.00822253,0.00803791
01/1989,15163.33693,-0.00880468,-0.00898619
02/1989,15029.828545,0.00558372,0.00539958
03/1989,15113.75092,0.01244075,0.01225535
04/1989,15301.777284,0.01072401,0.01053893
05/1989,15465.873738,0.02037666,0.02018982
06/1989,15781.016656,0.02078356,0.02059664
07/1989,16109.002421,-0.00812861,-0.00831023
08/1989,15978.058659,0.00019199,8.84e-06
09/1989,15981.126343,0.01324193,0.01305639
10/1989,16192.747245,0.00591979,0.0057356
11/1989,16288.604983,0.00489061,0.0047066
12/1989,16368.266137,-0.01398875,-0.0141693
01/1990,16139.294571,-0.00494135,-0.00512356
02/1990,16059.544641,0.00283642,0.00265279
03/1990,16105.096302,-0.00305195,-0.00323451
04/1990,16055.944304,0.02843325,0.02824493
05/1990,16512.46703,0.01258046,0.01239505
06/1990,16720.20154,0.01027265,0.01008765
07/1990,16891.962272,-0.01183243,-0.01201338
08/1990,16692.08932,0.00411704,0.00393317
09/1990,16760.811368,0.02373115,0.02354369
10/1990,17158.564758,0.02040959,0.02022274
11/1990,17508.764108,0.01415189,0.01396618
12/1990,17756.546202,0.01798519,0.01779878
01/1991,18075.901021,0.01204077,0.01185545
02/1991,18293.548788,0.00494126,0.00475724
03/1991,18383.941905,0.01111628,0.01093113
04/1991,18588.302949,0.00775549,0.00757096
05/1991,18732.464386,-0.00015586,-0.00033895
06/1991,18729.544661,0.01410477,0.01391907
07/1991,18993.720618,0.02125498,0.02106798
08/1991,19397.431825,0.02191559,0.02172846
09/1991,19822.537912,0.01182675,0.01164147
10/1991,20056.974099,0.01052886,0.01034381
11/1991,20268.151123,0.02919641,0.02900795
12/1991,20859.908423,0.00171508,0.00153165
01/1992,20895.684922,0.00892045,0.0087357
02/1992,21082.083737,-0.00087447,-0.00105743
03/1992,21063.648039,0.01041481,0.01022979
04/1992,21283.021995,0.01914342,0.0189568
05/1992,21690.451906,0.01422033,0.01403461
06/1992,21998.897212,0.02137667,0.02118964
07/1992,22469.160401,0.01324635,0.01306081
08/1992,22766.794832,0.02239996,0.02221275
09/1992,23276.770231,0.01308763,0.01290212
10/1992,23581.408057,0.00540309,0.00521899
11/1992,23708.82053,0.02067494,0.02048804
12/1992,24198.999008,0.02172275,0.02153566
01/1993,24724.667931,0.02493246,0.02474478
02/1993,25341.114664,0.00537627,0.00519217
03/1993,25477.35536,0.00887421,0.00868947
04/1993,25703.446657,0.00688579,0.00670142
05/1993,25880.435276,0.02545562,0.02526784
06/1993,26539.237754,0.01332562,0.01314006
07/1993,26892.889482,0.02528843,0.02510069
08/1993,27572.968473,0.01027714,0.01009214
09/1993,27856.339651,0.01298981,0.01280432
10/1993,28218.18831,0.00413809,0.00395421
