month_year,price_eur,month_return,month_return_after_TER
12/1989,10000.0,,
01/1990,9527.354025,-0.0472646,-0.0474549
02/1990,9062.253935,-0.04881734,-0.04900733
03/1990,8247.599121,-0.08989539,-0.09007717
04/1990,8158.250631,-0.01083327,-0.01103085
05/1990,8813.707235,0.08034279,0.080127
06/1990,8764.708369,-0.00555939,-0.00575802
07/1990,8444.554202,-0.03652765,-0.03672009
08/1990,7540.979826,-0.10700084,-0.10717921
09/1990,6655.415623,-0.11743357,-0.11760986
10/1990,6991.929936,0.05056248,0.05035264
11/1990,6702.857778,-0.04134369,-0.04153517
12/1990,6795.476358,0.01381777,0.01361527
01/1991,7070.007006,0.04039903,0.04019122
02/1991,7748.047211,0.09590375,0.09568486
03/1991,8382.484092,0.08188346,0.08166736
04/1991,8483.558154,0.01205777,0.01185562
05/1991,8195.936595,-0.03390341,-0.03409638
06/1991,8203.470277,0.0009192,0.00071927
07/1991,8487.187448,0.03458502,0.03437837
08/1991,8293.555215,-0.02281465,-0.02300984
09/1991,8246.255171,-0.00570323,-0.00590183
10/1991,8350.789951,0.01267664,0.01247436
11/1991,7838.426188,-0.06135513,-0.06154261
12/1991,7662.375126,-0.02246,-0.02265526
01/1992,7798.263787,0.01773454,0.01753125
02/1992,7750.718556,-0.0060969,-0.00629542
03/1992,7460.667209,-0.03742251,-0.03761478
04/1992,7525.584887,0.00870132,0.00849984
05/1992,8198.851793,0.08946373,0.08924612
06/1992,7422.610725,-0.0946768,-0.09485763
07/1992,6862.913954,-0.0754043,-0.07558898
08/1992,6513.741936,-0.0508781,-0.05106768
09/1992,6570.043261,0.00864347,0.008442
10/1992,7171.411476,0.09153185,0.09131383
11/1992,7225.593884,0.00755533,0.00735408
12/1992,7229.611532,0.00055603,0.00035618
01/1993,7340.624693,0.01535534,0.01515253
02/1993,8174.294869,0.11356938,0.11334695
03/1993,8553.507002,0.04639081,0.0461818
04/1993,8997.769888,0.05193927,0.05172915
05/1993,9523.041691,0.058378,0.0581666
06/1993,9854.244018,0.03477905,0.03457236
07/1993,10413.607175,0.05676368,0.0565526
08/1993,10612.611062,0.01910999,0.01890643
09/1993,10458.806747,-0.0144926,-0.01468944
10/1993,11659.935634,0.11484378,0.1146211
11/1993,11316.535289,-0.02945131,-0.02964516
12/1993,13404.871942,0.18453852,0.18430192
01/1994,13690.705548,0.02132311,0.02111911
02/1994,13086.542339,-0.04412944,-0.04432037
03/1994,11979.868447,-0.0845658,-0.08474865
04/1994,11857.442087,-0.01021934,-0.01041704
05/1994,12137.537427,0.0236219,0.02341744
06/1994,11264.430205,-0.07193446,-0.07211983
07/1994,11615.677103,0.03118195,0.03097598
08/1994,11791.857129,0.01516743,0.01496466
09/1994,11424.038361,-0.03119261,-0.03138612
10/1994,11138.913406,-0.02495833,-0.02515309
11/1994,10614.304125,-0.04709699,-0.04728732
12/1994,10491.670375,-0.01155363,-0.01175106
01/1995,9994.402457,-0.04739645,-0.04758672
02/1995,10173.121734,0.01788194,0.01767863
03/1995,10001.466414,-0.01687342,-0.01706979
04/1995,10064.225064,0.00627494,0.00607395
05/1995,10669.780761,0.06016913,0.05995737
06/1995,10512.975118,-0.01469624,-0.01489304
07/1995,10843.346682,0.03142513,0.03121911
08/1995,11219.89697,0.03472639,0.03451971
09/1995,11326.3805,0.0094906,0.00928896
10/1995,11184.366534,-0.01253834,-0.01273557
11/1995,11685.487692,0.0448055,0.04459681
12/1995,12019.229345,0.02856035,0.02835491
01/1996,13438.005275,0.11804217,0.11781885
02/1996,13151.559758,-0.02131607,-0.02151156
03/1996,13109.136218,-0.00322574,-0.00342484
04/1996,13659.295038,0.04196759,0.04175946
05/1996,13710.348691,0.00373765,0.00353716
06/1996,13720.864701,0.00076701,0.00056712
07/1996,13097.414369,-0.04543812,-0.04562879
08/1996,13621.987279,0.04005164,0.0398439
09/1996,14448.791925,0.06069633,0.06048447
10/1996,14598.386998,0.01035347,0.01015166
11/1996,15671.536593,0.07351152,0.07329709
12/1996,16175.065798,0.03213017,0.03192402
01/1997,17079.084213,0.05588963,0.05567872
02/1997,17808.764574,0.04272362,0.04251535
03/1997,16905.367717,-0.05072765,-0.05091726
04/1997,17450.233829,0.03223036,0.03202418
05/1997,18578.406817,0.06465088,0.06443823
06/1997,18850.296768,0.01463473,0.01443207
07/1997,20268.29688,0.07522429,0.07500952
08/1997,19912.09172,-0.0175745,-0.01777073
09/1997,20263.247339,0.0176353,0.01743203
10/1997,16905.510922,-0.16570574,-0.16587238
11/1997,16911.213966,0.00033735,0.00013754
12/1997,16969.902486,0.00347039,0.00326996
01/1998,16659.267084,-0.01830508,-0.01850116
02/1998,17683.105459,0.06145759,0.06124557
03/1998,17893.889435,0.01192008,0.01171796
04/1998,16927.58602,-0.05400187,-0.05419082
05/1998,16103.340757,-0.04869243,-0.04888244
06/1998,15755.360281,-0.02160921,-0.02180463
07/1998,14673.059146,-0.06869415,-0.06888017
08/1998,12887.360322,-0.12169915,-0.12187458
09/1998,13059.954554,0.01339252,0.0131901
10/1998,14177.959274,0.08560556,0.08538872
11/1998,14984.095827,0.05685843,0.05664734
12/1998,14613.529492,-0.02473064,-0.02492544
01/1999,14679.470415,0.00451232,0.00431168
02/1999,15044.746283,0.02488345,0.02467874
03/1999,15858.377814,0.05408077,0.05387023
04/1999,17735.814786,0.11838771,0.11816432
05/1999,17600.088404,-0.00765267,-0.00785088
06/1999,18130.279562,0.03012435,0.02991859
07/1999,17281.126502,-0.04683618,-0.04702657
08/1999,17329.736015,0.00281287,0.00261256
09/1999,16419.478516,-0.05252576,-0.05271501
10/1999,16414.583476,-0.00029812,-0.0004978
11/1999,17618.346671,0.07333498,0.07312059
12/1999,18518.600995,0.05109755,0.0508876
01/2000,18886.750783,0.01988,0.01967629
02/2000,18250.451652,-0.03369024,-0.03388325
03/2000,19567.864927,0.07218524,0.07197108
04/2000,20626.758532,0.05411391,0.05390336
05/2000,19443.975487,-0.05734217,-0.05753045
06/2000,20314.534919,0.04477271,0.04456402
07/2000,21902.690141,0.07817827,0.07796292
08/2000,23471.030459,0.07160492,0.07139087
09/2000,23504.919499,0.00144387,0.00124384
10/2000,23290.288913,-0.0091313,-0.00932922
11/2000,23050.47303,-0.01029682,-0.0104945
12/2000,23247.325759,0.00854007,0.00833863
01/2001,23826.402412,0.02490939,0.02470467
02/2001,23993.255007,0.00700284,0.00680171
03/2001,23564.549394,-0.01786776,-0.01806393
04/2001,23928.995462,0.01546586,0.01526303
05/2001,25297.705261,0.0571988,0.05698763
06/2001,25822.337227,0.02073832,0.02053444
07/2001,24614.183698,-0.04678715,-0.04697754
08/2001,24129.55191,-0.01968913,-0.01988493
09/2001,21734.356058,-0.099264,-0.09944391
10/2001,21922.505044,0.00865675,0.00845529
11/2001,23119.17704,0.05458646,0.05437582
12/2001,23923.439881,0.03478769,0.034581
01/2002,24317.330524,0.01646463,0.0162616
02/2002,24458.62745,0.00581054,0.00560964
03/2002,25529.002588,0.04376268,0.0435542
04/2002,25436.224397,-0.00363423,-0.00383324
05/2002,25274.186638,-0.00637035,-0.00656882
06/2002,23807.513439,-0.05803048,-0.05821863
07/2002,22755.28653,-0.04419726,-0.04438817
08/2002,22417.322062,-0.01485213,-0.0150489
09/2002,21362.317364,-0.04706203,-0.04725237
10/2002,21028.982546,-0.01560387,-0.01580049
11/2002,21727.318989,0.03320828,0.03300191
12/2002,20697.129216,-0.04741449,-0.04760476
01/2003,19802.12523,-0.0432429,-0.04343401
02/2003,19821.940133,0.00100065,0.0008007
03/2003,19559.346371,-0.01324763,-0.01344473
04/2003,19922.866508,0.0185855,0.01838204
05/2003,20336.572055,0.02076536,0.02056147
06/2003,21269.909545,0.04589453,0.04568563
07/2003,22546.767083,0.06003117,0.05981944
08/2003,23775.846631,0.05451245,0.05430182
09/2003,23460.845228,-0.0132488,-0.01344589
10/2003,24206.774476,0.03179465,0.03158855
11/2003,24322.886105,0.00479666,0.00459596
12/2003,24226.219008,-0.00397433,-0.00417327
01/2004,25725.114572,0.0618708,0.0616587
02/2004,26625.859324,0.03501422,0.03480748
03/2004,28221.607172,0.05993226,0.05972055
04/2004,25771.411075,-0.08681986,-0.08700226
05/2004,26628.081557,0.03324112,0.03303474
06/2004,27329.19579,0.02632988,0.02612488
07/2004,27840.123992,0.01869533,0.01849185
08/2004,29118.092646,0.04590384,0.04569493
09/2004,28799.572709,-0.0109389,-0.01113646
10/2004,29361.982621,0.01952841,0.01932477
11/2004,30075.319132,0.02429456,0.02408997
12/2004,31017.730736,0.03133505,0.03112905
01/2005,30865.507836,-0.00490761,-0.00510637
02/2005,30959.952701,0.00305988,0.00285953
03/2005,30841.433655,-0.00382814,-0.00402712
04/2005,32061.624274,0.03956336,0.03935571
05/2005,34158.485465,0.06540097,0.06518816
06/2005,36185.53153,0.05934239,0.05913079
07/2005,37849.983387,0.04599772,0.04578879
08/2005,37011.090762,-0.02216362,-0.02235893
09/2005,38542.393879,0.04137417,0.04116616
10/2005,37638.68615,-0.02344711,-0.02364217
11/2005,39606.843064,0.0522908,0.05208061
12/2005,41229.998441,0.04098169,0.04077376
01/2006,42704.264266,0.03575712,0.03555023
02/2006,44476.494381,0.04150007,0.04129204
03/2006,45807.611421,0.02992855,0.02972283
04/2006,43797.046911,-0.04389149,-0.04408247
05/2006,41494.444063,-0.05257439,-0.05276363
06/2006,43193.155332,0.04093828,0.04073036
07/2006,44831.681149,0.03793485,0.03772753
08/2006,46381.502866,0.03456979,0.03436314
09/2006,47923.361585,0.03324297,0.03303659
10/2006,50261.149774,0.04878181,0.04857232
11/2006,50837.078265,0.01145872,0.01125669
12/2006,52500.23382,0.0327154,0.03250913
01/2007,55838.582022,0.0635873,0.06337486
02/2007,55323.394542,-0.00922637,-0.00942427
03/2007,55243.209,-0.0014494,-0.00164885
04/2007,54290.612165,-0.01724369,-0.01743999
05/2007,55510.98797,0.02247858,0.02227435
06/2007,51263.37646,-0.07651839,-0.07670285
07/2007,48069.843718,-0.06229657,-0.06248387
