month_year,price_eur,month_return,month_return_after_TER
06/1994,10000.0,,
07/1994,9701.719379,-0.02982806,-0.03002991
08/1994,10027.978441,0.03362899,0.03341395
09/1994,9657.264726,-0.03696794,-0.0371683
10/1994,9800.378709,0.01481931,0.01460817
11/1994,9332.182503,-0.04777328,-0.04797139
12/1994,9575.21396,0.0260423,0.02582883
01/1995,9060.974478,-0.05370527,-0.05390215
02/1995,9038.034638,-0.00253172,-0.00273924
03/1995,9209.582136,0.01898062,0.01876862
04/1995,9431.483364,0.0240946,0.02388154
05/1995,9606.724603,0.01858045,0.01836854
06/1995,9782.380477,0.01828468,0.01807282
07/1995,10040.995505,0.02643682,0.02622327
08/1995,10281.197077,0.02392209,0.02370906
09/1995,10920.270267,0.06215941,0.06193843
10/1995,10881.140987,-0.00358318,-0.00379048
11/1995,11262.549104,0.03505222,0.03483687
12/1995,11607.472586,0.0306257,0.03041128
01/1996,12101.342206,0.04254756,0.04233065
02/1996,12344.762206,0.02011512,0.01990289
03/1996,12485.053139,0.01136441,0.01115399
04/1996,12717.86675,0.01864739,0.01843546
05/1996,13132.974788,0.03263975,0.03242491
06/1996,13313.916637,0.01377767,0.01356676
07/1996,12596.975408,-0.05384901,-0.05404586
08/1996,12641.459252,0.00353131,0.00332253
09/1996,13327.35957,0.054258,0.05403866
10/1996,13484.754046,0.01180988,0.01159937
11/1996,14090.28044,0.04490452,0.04468712
12/1996,14256.897172,0.01182494,0.01161443
01/1997,15315.152865,0.07422763,0.07400414
02/1997,16038.971813,0.04726162,0.04704374
03/1997,15864.929363,-0.01085122,-0.01105702
04/1997,16917.633071,0.06635414,0.06613228
05/1997,17738.198312,0.04850355,0.04828541
06/1997,18937.89679,0.06763362,0.06741149
07/1997,20941.205896,0.10578308,0.10555302
08/1997,19778.01085,-0.05554575,-0.05574225
09/1997,20796.925468,0.05151755,0.05129878
10/1997,19371.889234,-0.06852149,-0.06871528
11/1997,19345.57212,-0.00135852,-0.00156629
12/1997,20393.123005,0.05414939,0.05393007
01/1998,21462.959899,0.05246067,0.0522417
02/1998,22823.518892,0.06339102,0.06316978
03/1998,24442.908065,0.07095265,0.07072984
04/1998,24837.692755,0.0161513,0.01593989
05/1998,24473.490708,-0.01466328,-0.01486828
06/1998,25582.645639,0.04532067,0.04510319
07/1998,26677.048818,0.04277912,0.04256217
08/1998,22485.596255,-0.1571183,-0.15729366
09/1998,21325.958957,-0.05157245,-0.05176977
10/1998,22048.353451,0.03387395,0.03365885
11/1998,24306.48098,0.10241706,0.1021877
12/1998,26468.807906,0.08896092,0.08873436
01/1999,28625.866049,0.08149434,0.08126934
02/1999,28475.19311,-0.00526352,-0.00547048
03/1999,30125.965796,0.05797231,0.0577522
04/1999,30355.692377,0.00762553,0.0074159
05/1999,29786.610294,-0.01874713,-0.01895128
06/1999,32384.924151,0.08723093,0.08700473
07/1999,31172.039692,-0.03745213,-0.03765239
08/1999,31410.955294,0.00766442,0.00745477
09/1999,31307.376493,-0.00329754,-0.0035049
10/1999,34091.080739,0.08891528,0.08868873
11/1999,37900.864521,0.11175309,0.11152179
12/1999,45012.984769,0.18765061,0.18740351
01/2000,43287.773208,-0.03832698,-0.03852705
02/2000,47242.146466,0.09135081,0.09112376
03/2000,49793.586704,0.05400771,0.05378842
04/2000,48604.927241,-0.02387174,-0.02407482
05/2000,43868.72336,-0.09744288,-0.09763065
06/2000,45101.016164,0.02809046,0.02787657
07/2000,44739.343974,-0.00801916,-0.00822554
08/2000,49258.403857,0.10100863,0.10077956
09/2000,44534.703113,-0.09589634,-0.09608444
10/2000,43698.075186,-0.01878598,-0.01899012
11/2000,40828.576006,-0.06566649,-0.06586088
12/2000,39349.453649,-0.03622763,-0.03642814
01/2001,37653.565074,-0.04309815,-0.04329723
02/2001,36008.584212,-0.04368725,-0.04388622
03/2001,35545.24462,-0.01286748,-0.01307285
04/2001,37032.517571,0.04184169,0.04162493
05/2001,38697.494896,0.04495987,0.04474247
06/2001,38059.626777,-0.01648345,-0.01668807
07/2001,36361.108278,-0.04462783,-0.0448266
08/2001,34246.550962,-0.05815437,-0.05835032
09/2001,31405.703106,-0.08295282,-0.08314361
10/2001,30912.325803,-0.0157098,-0.01591458
11/2001,32071.165436,0.03748795,0.0372721
12/2001,32877.20485,0.02513284,0.02491956
01/2002,33268.731158,0.01190875,0.01169822
02/2002,33126.621685,-0.00427156,-0.00447873
03/2002,34222.403806,0.0330786,0.03286366
04/2002,33075.847887,-0.03350308,-0.03370416
05/2002,32097.933409,-0.02956582,-0.02976772
06/2002,29031.562111,-0.09553174,-0.09571991
07/2002,27707.888737,-0.04559429,-0.04579285
08/2002,27684.866135,-0.0008309,-0.00103878
09/2002,26288.926491,-0.05042248,-0.05062004
10/2002,26128.4603,-0.00610395,-0.00631073
11/2002,25760.58066,-0.01407965,-0.01428477
12/2002,23539.711811,-0.08621191,-0.08640202
01/2003,22189.578356,-0.05735556,-0.05755168
02/2003,22153.095785,-0.00164413,-0.00185184
03/2003,21973.865905,-0.00809051,-0.00829688
04/2003,22940.910375,0.04400885,0.04379164
05/2003,22581.491129,-0.01566717,-0.01587197
06/2003,23576.029774,0.0440422,0.04382499
07/2003,24134.33303,0.02368097,0.02346799
08/2003,25341.087248,0.05000156,0.0497831
09/2003,24020.353762,-0.05211826,-0.05231547
10/2003,25471.816356,0.06042636,0.06020574
11/2003,24966.330266,-0.01984492,-0.02004884
12/2003,24512.777717,-0.01816657,-0.01837084
01/2004,25282.382695,0.03139607,0.03118149
02/2004,25709.195758,0.01688184,0.01667027
03/2004,27120.440275,0.0548926,0.05467312
04/2004,26819.968748,-0.01107915,-0.0112849
05/2004,26540.174754,-0.0104323,-0.01063818
06/2004,27468.983844,0.03499634,0.03478101
07/2004,26579.035801,-0.03239829,-0.0325996
08/2004,26759.819863,0.00680175,0.00659229
09/2004,26964.644664,0.00765419,0.00744455
10/2004,26746.364166,-0.00809506,-0.00830143
11/2004,27504.091116,0.02833009,0.02811615
12/2004,27469.913988,-0.00124262,-0.00145041
01/2005,28356.837549,0.03228709,0.03207232
02/2005,30116.739792,0.06206271,0.06184175
03/2005,30121.110314,0.00014512,-6.296e-05
04/2005,28870.589523,-0.04151642,-0.04171584
05/2005,31229.358063,0.08170143,0.08147638
06/2005,33207.977207,0.06335766,0.06313643
07/2005,34654.860661,0.04357036,0.04335324
08/2005,35439.616823,0.02264491,0.02243215
09/2005,37660.388663,0.06266354,0.06244245
10/2005,36168.183044,-0.03962268,-0.03982249
11/2005,38214.87126,0.05658809,0.05636826
12/2005,40537.559499,0.0607797,0.060559
01/2006,42451.0049,0.04720179,0.04698392
02/2006,42297.856557,-0.00360765,-0.00381495
03/2006,42942.653466,0.0152442,0.01503297
04/2006,42899.552643,-0.00100368,-0.00121153
05/2006,39309.886749,-0.08367607,-0.08386671
06/2006,39551.95972,0.00615807,0.00594874
07/2006,39207.310979,-0.00871382,-0.00892006
08/2006,39072.816213,-0.00343035,-0.00363769
09/2006,39411.242245,0.00866142,0.00845157
10/2006,41700.398213,0.05808383,0.0578637
11/2006,41631.762049,-0.00164594,-0.00185364
12/2006,43115.392154,0.03563698,0.03542151
01/2007,44562.158743,0.03355569,0.03334065
02/2007,43591.234132,-0.0217881,-0.02199162
03/2007,44600.506036,0.02315309,0.02294022
04/2007,45295.137829,0.01557453,0.01536324
05/2007,47302.519554,0.04431782,0.04410055
06/2007,46822.195915,-0.01015429,-0.01036023
07/2007,45934.003971,-0.01896946,-0.01917357
08/2007,45382.183894,-0.01201332,-0.01221888
09/2007,47385.866125,0.0441513,0.04393406
10/2007,48622.586912,0.02609894,0.02588546
11/2007,45553.906449,-0.06311224,-0.06330716
12/2007,46068.699854,0.01130075,0.01109035
01/2008,40787.789879,-0.11463119,-0.11481539
02/2008,40731.851817,-0.00137144,-0.00157921
03/2008,38549.615347,-0.05357568,-0.05377258
04/2008,41837.216083,0.08528232,0.08505653
05/2008,43129.260552,0.03088266,0.03066818
06/2008,41700.896076,-0.03311822,-0.03331938
07/2008,38654.559162,-0.07305207,-0.07324493
08/2008,39951.987936,0.0335647,0.03334967
09/2008,34284.167133,-0.1418658,-0.14204434
10/2008,33194.369887,-0.03178719,-0.03198863
11/2008,30961.111029,-0.06727824,-0.0674723
12/2008,29139.019843,-0.05885096,-0.05904677
01/2009,28866.494827,-0.00935258,-0.00955869
02/2009,26225.872297,-0.09147708,-0.0916661
03/2009,26269.782923,0.00167432,0.00146592
04/2009,27450.530011,0.04494697,0.04472956
05/2009,27225.587913,-0.00819445,-0.0084008
06/2009,26891.783065,-0.0122607,-0.0124662
07/2009,29085.909033,0.08159094,0.08136592
08/2009,29369.333449,0.00974439,0.00953431
09/2009,29893.497505,0.01784733,0.01763556
10/2009,29201.572443,-0.02314634,-0.02334958
11/2009,29983.718405,0.02678438,0.02657075
12/2009,32149.286086,0.07222479,0.07200171
01/2010,31000.022114,-0.03574773,-0.03594834
02/2010,32784.596709,0.05756688,0.05734685
03/2010,35364.17251,0.07868255,0.07845813
04/2010,36259.311153,0.02531202,0.0250987
05/2010,35664.223104,-0.01641201,-0.01661664
06/2010,34398.249501,-0.03549702,-0.03569769
07/2010,34980.131571,0.01691604,0.01670447
08/2010,34321.348582,-0.01883306,-0.0190372
09/2010,35604.7761,0.03739444,0.03717861
10/2010,36643.228212,0.02916609,0.02895197
11/2010,39232.177134,0.07065286,0.07043011
12/2010,40245.228641,0.02582195,0.02560853
01/2011,39567.859357,-0.01683105,-0.0170356
02/2011,40597.405603,0.02601976,0.0258063
03/2011,40020.186224,-0.01421813,-0.01442323
04/2011,40261.128313,0.00602051,0.00581121
05/2011,40882.375478,0.01543045,0.01521918
06/2011,40339.208719,-0.01328609,-0.01349137
07/2011,40328.276212,-0.00027101,-0.00047901
08/2011,37583.574988,-0.06805898,-0.06825287
09/2011,38367.469878,0.02085738,0.02064499
10/2011,39448.480545,0.02817519,0.02796127
11/2011,41145.241137,0.04301206,0.04279506
12/2011,43310.828608,0.05263276,0.05241375
01/2012,43133.156672,-0.00410225,-0.00430945
02/2012,44181.265797,0.02429938,0.02408628
03/2012,45890.785732,0.03869332,0.03847722
04/2012,46799.670374,0.01980538,0.01959321
05/2012,47579.530438,0.01666379,0.01645228
06/2012,48805.536268,0.02576751,0.02555409
07/2012,50970.055159,0.04434986,0.04413259
08/2012,50318.70305,-0.01277911,-0.01298451
09/2012,50174.604307,-0.00286372,-0.00307118
10/2012,48854.480661,-0.02631059,-0.02651317
11/2012,49443.178235,0.01205002,0.01183946
12/2012,48455.693722,-0.01997211,-0.020176
01/2013,49142.800386,0.0141801,0.0139691
02/2013,51502.041443,0.04800787,0.04778983
03/2013,54977.847694,0.06748871,0.06726662
04/2013,55518.120352,0.0098271,0.009617
05/2013,55080.4079,-0.00788414,-0.00809055
06/2013,55031.23586,-0.00089273,-0.0011006
07/2013,56019.748849,0.01796276,0.01775097
08/2013,54551.23163,-0.02621428,-0.02641687
09/2013,56721.286215,0.03978012,0.03956379
10/2013,57810.181097,0.01919729,0.01898524
11/2013,59216.148112,0.0243204,0.02410729
12/2013,60106.070009,0.01502837,0.01481719
01/2014,59637.469446,-0.00779623,-0.00800266
02/2014,61693.699489,0.03447883,0.0342636
