month_year,price_eur,month_return,month_return_after_TER
11/1997,10000.0,0.01619187,0.01598045
12/1997,10161.918704,0.02541022,0.02519688
01/1998,10420.135254,0.12422475,0.12399085
02/1998,11714.573941,0.03877833,0.03856221
03/1998,12168.84551,-0.03304336,-0.03324453
04/1998,11766.746002,-0.04691437,-0.04711267
05/1998,11214.716472,-0.02759054,-0.02779285
06/1998,10905.296363,-0.03776257,-0.03796277
07/1998,10493.484297,-0.14245427,-0.14263269
08/1998,8998.642628,-0.03969589,-0.03989568
09/1998,8641.433536,0.1424146,0.14217692
10/1998,9872.09987,0.07980187,0.07957722
11/1998,10659.911906,0.01787314,0.01766137
12/1998,10850.438056,0.04760352,0.04738556
01/1999,11366.957091,-0.00721114,-0.00741769
02/1999,11284.98836,0.09575212,0.09552414
03/1999,12365.549868,0.1095276,0.10929677
04/1999,13719.918925,-0.0117214,-0.01192701
05/1999,13559.102305,0.06663789,0.06641597
06/1999,14462.652238,-0.01502773,-0.01523265
07/1999,14245.311461,0.01539443,0.01518317
08/1999,14464.609895,-0.02427167,-0.02447467
09/1999,14113.529685,0.06094637,0.06072564
10/1999,14973.698049,0.08248787,0.08226266
11/1999,16208.846532,0.09351422,0.09328671
12/1999,17724.604163,-0.04308838,-0.04328747
01/2000,16960.879598,-0.01335183,-0.0135571
02/2000,16734.420821,0.05754877,0.05732874
03/2000,17697.466078,0.04969878,0.04948039
04/2000,18577.00863,-0.03841959,-0.03861965
05/2000,17863.287618,-0.0017233,-0.001931
06/2000,17832.503764,0.01319991,0.01298911
07/2000,18067.891261,0.08559725,0.08537139
08/2000,19614.45309,-0.02018384,-0.02038769
09/2000,19218.558184,0.04348744,0.04327034
10/2000,20054.324161,-0.05480148,-0.05499813
11/2000,18955.317463,-0.0168495,-0.01705405
12/2000,18635.929851,0.04583313,0.04561555
01/2001,19490.0729,-0.02213646,-0.0223399
02/2001,19058.631738,0.0042965,0.00408756
03/2001,19140.51721,0.04491779,0.04470039
04/2001,20000.266975,0.03917382,0.03895762
05/2001,20783.753846,-0.00928164,-0.00948776
06/2001,20590.846588,-0.02490815,-0.02511102
07/2001,20077.966651,-0.0710832,-0.07127646
08/2001,18650.760546,-0.09912845,-0.09931588
09/2001,16801.939571,-0.00049623,-0.00070418
10/2001,16793.601884,0.09033867,0.09011182
11/2001,18310.713524,0.02126805,0.02105558
12/2001,18700.146768,0.01171625,0.01150576
01/2002,18919.242332,-0.00703958,-0.00724616
02/2002,18786.058879,0.05336738,0.05314823
03/2002,19788.621647,-0.00994798,-0.01015396
04/2002,19591.764846,-0.0199678,-0.0201717
05/2002,19200.560321,-0.13006718,-0.13024817
06/2002,16703.197541,-0.06917579,-0.06936945
07/2002,15547.740635,-0.00177589,-0.00198357
08/2002,15520.129525,-0.11601358,-0.11619749
09/2002,13719.583758,0.01310845,0.01289767
10/2002,13899.426211,0.04116776,0.04095115
11/2002,14471.634517,-0.08320798,-0.08339872
12/2002,13267.479051,-0.03625497,-0.03645548
01/2003,12786.467018,-0.03341293,-0.03361403
02/2003,12359.233692,-0.02778258,-0.02798485
03/2003,12015.862298,0.06014886,0.0599283
04/2003,12738.602728,0.02976567,0.02955142
05/2003,13117.775746,0.07860095,0.07837655
06/2003,14148.845444,0.05716687,0.05694693
07/2003,14957.690662,0.08783181,0.08760548
08/2003,16271.451662,-0.02617258,-0.02637519
09/2003,15845.585783,0.08220195,0.08197679
10/2003,17148.123789,-0.01690446,-0.017109
11/2003,16858.244009,0.01982281,0.01961064
12/2003,17192.421794,0.04862634,0.04840817
01/2004,18028.426373,0.01994285,0.01973065
02/2004,18387.964603,0.04175789,0.04154115
03/2004,19155.807169,0.00382249,0.00361364
04/2004,19229.030075,-0.01618567,-0.01639035
05/2004,18917.795345,0.04264647,0.04242955
06/2004,19724.572584,-0.02162053,-0.02182408
07/2004,19298.11692,-0.00588638,-0.0060932
08/2004,19184.520939,0.0064144,0.00620502
