month_year,price_eur,month_return,month_return_after_TER
12/1978,10000.0,0.08514827,0.08505789
01/1979,10851.482733,0.00097232,0.00088895
02/1979,10862.033829,0.01557316,0.01548858
03/1979,11031.190068,-0.00529488,-0.00537772
04/1979,10972.781268,0.04647633,0.04638917
05/1979,11482.75583,-0.03796671,-0.03804684
06/1979,11046.793378,0.01540452,0.01531995
07/1979,11216.96398,0.0727874,0.07269805
08/1979,12033.41758,0.09056587,0.09047504
09/1979,13123.234543,-0.01831407,-0.01839583
10/1979,12882.894719,0.02006495,0.01997999
11/1979,13141.389367,0.10414667,0.10405471
12/1979,14510.021286,0.13239134,0.13229703
01/1980,16431.022461,0.02805353,0.02796791
02/1980,16891.97065,-0.12768084,-0.1277535
03/1980,14735.18957,0.10763964,0.10754739
04/1980,16321.280139,0.05876666,0.05867848
05/1980,17280.427319,0.09041105,0.09032024
06/1980,18842.768961,0.02732821,0.02724265
07/1980,19357.708137,0.0798818,0.07979186
08/1980,20904.036681,0.01645103,0.01636637
09/1980,21247.929545,0.15538601,0.15528978
10/1980,24549.56054,0.01072388,0.0106397
11/1980,24812.827116,0.0352862,0.03519998
12/1980,25688.377569,-0.0186273,-0.01870903
01/1981,25209.872516,0.03486052,0.03477433
02/1981,26088.70177,0.02104693,0.02096188
03/1981,26637.788739,0.04380463,0.04371769
04/1981,27804.647192,0.10679318,0.10670099
05/1981,30773.993786,0.05212629,0.05203866
06/1981,32378.127979,-0.07209298,-0.07217026
07/1981,30043.892389,-0.02963533,-0.02971615
08/1981,29153.531696,-0.18606613,-0.18613392
09/1981,23729.04689,-0.03871947,-0.03879953
10/1981,22810.270809,0.13112694,0.13103273
11/1981,25801.311831,-0.00423338,-0.00431631
12/1981,25692.085128,-0.04507774,-0.04515728
01/1982,24533.943936,-0.08032551,-0.08040211
02/1982,22563.242429,-0.04503103,-0.04511057
03/1982,21547.19632,0.14295459,0.1428594
04/1982,24627.467016,-0.01035638,-0.01043881
05/1982,24372.415521,-0.05310511,-0.05318397
06/1982,23078.115786,-0.04110911,-0.04118897
07/1982,22129.395006,-0.04193852,-0.04201831
08/1982,21201.320961,-0.01686311,-0.01694499
09/1982,20843.800753,-0.03062021,-0.03070094
10/1982,20205.559276,0.00213331,0.00204985
11/1982,20248.664076,0.02754098,0.02745539
12/1982,20806.33205,0.09307004,0.092979
01/1983,22742.77815,0.04031478,0.04022814
02/1983,23659.648356,-0.02279384,-0.02287523
03/1983,23120.354087,0.11003107,0.10993862
04/1983,25664.311411,-0.00461204,-0.00469494
05/1983,25545.946706,0.03590787,0.03582159
06/1983,26463.247317,0.07284895,0.0727596
07/1983,28391.06712,0.02610531,0.02601985
08/1983,29132.224799,-0.03700632,-0.03708652
09/1983,28054.148465,-0.00133444,-0.00141762
10/1983,28016.711877,0.0754236,0.07533403
11/1983,30129.833132,0.0689746,0.06888557
12/1983,32208.02645,0.077101,0.07701129
01/1984,34691.297479,-0.06481388,-0.06489177
02/1984,32442.819783,-0.03044959,-0.03053034
03/1984,31454.949246,0.0165608,0.01647613
04/1984,31975.868355,-0.08961968,-0.08969551
05/1984,29110.201168,-0.03189904,-0.03197967
06/1984,28181.613646,0.02359952,0.02351427
07/1984,28846.686273,0.09240711,0.09231612
08/1984,31512.325142,0.04611692,0.04602979
09/1984,32965.57645,0.02086899,0.02078396
10/1984,33653.534581,-0.00811083,-0.00819344
11/1984,33380.576648,0.01668031,0.01659563
12/1984,33937.374969,0.10049226,0.1004006
01/1985,37347.818546,-0.01386521,-0.01394735
02/1985,36829.98304,0.01424848,0.01416401
