month_year,price_eur,month_return,month_return_after_TER
05/1988,10000.0,,
06/1988,10282.096982,0.0282097,0.02795306
07/1988,10924.329752,0.06246126,0.06219608
08/1988,10645.458225,-0.02552756,-0.02577079
09/1988,10843.612659,0.01861399,0.01835975
10/1988,11012.116019,0.01553941,0.01528594
11/1988,10888.356518,-0.01123848,-0.01148527
12/1988,10960.521126,0.00662769,0.00637644
01/1989,11848.415469,0.08100841,0.08073859
02/1989,11886.770799,0.00323717,0.00298677
03/1989,12106.556774,0.01848996,0.01823576
04/1989,12592.504847,0.04013925,0.03987963
05/1989,13031.102266,0.03483004,0.03457175
06/1989,13387.821034,0.02737441,0.02711799
07/1989,13875.846094,0.03645291,0.03619422
08/1989,13950.401387,0.00537303,0.00512209
09/1989,14652.67881,0.05034102,0.05007886
10/1989,13969.223893,-0.04664368,-0.04688164
11/1989,14099.795658,0.0093471,0.00909517
12/1989,14113.811231,0.00099403,0.00074418
01/1990,13142.712921,-0.06880482,-0.06903725
02/1990,12674.248259,-0.03564444,-0.03588514
03/1990,12330.849706,-0.02709419,-0.02733703
04/1990,11692.503248,-0.05176825,-0.05200492
05/1990,12500.832918,0.0691323,0.06886545
06/1990,12597.272884,0.00771468,0.00746316
07/1990,12549.733999,-0.00377374,-0.0040224
08/1990,10820.296473,-0.13780671,-0.13802191
09/1990,9902.057809,-0.08486262,-0.08509103
10/1990,10564.1299,0.06686207,0.06659579
11/1990,10006.839305,-0.0527531,-0.05298953
12/1990,10162.07016,0.01551248,0.01525901
01/1991,10400.000853,0.0234136,0.02315817
02/1991,11129.480898,0.07014231,0.0698752
03/1991,11847.001095,0.06447023,0.06420454
04/1991,12576.250562,0.06155562,0.06129066
05/1991,12815.030794,0.0189866,0.01873227
06/1991,12892.231771,0.00602425,0.00577315
07/1991,13400.443798,0.03942002,0.03916059
08/1991,12891.739484,-0.03796175,-0.03820187
09/1991,12887.989811,-0.00029086,-0.00054038
10/1991,13062.402505,0.01353296,0.01327999
11/1991,12237.926758,-0.06311823,-0.06335207
12/1991,12571.729401,0.02727608,0.02701968
01/1992,12279.237705,-0.02326583,-0.02350962
02/1992,12362.257763,0.00676101,0.00650973
03/1992,12096.98328,-0.02145842,-0.02170266
04/1992,12223.100898,0.01042554,0.01017335
05/1992,12373.731958,0.01232347,0.0120708
06/1992,11956.392272,-0.03372788,-0.03396905
07/1992,11487.938608,-0.03918019,-0.03942
08/1992,11244.629725,-0.02117951,-0.02142382
09/1992,11297.118051,0.00466786,0.0044171
10/1992,11572.144159,0.0243448,0.02408913
11/1992,12340.926264,0.06643385,0.06616768
12/1992,12528.711614,0.01521647,0.01496308
01/1993,12826.500543,0.02376852,0.02351299
02/1993,13562.797241,0.05740433,0.05714041
03/1993,14247.505051,0.05048426,0.05022207
04/1993,14288.825535,0.00290019,0.00264987
05/1993,14416.183709,0.00891313,0.00866131
06/1993,14775.054972,0.02489364,0.02463783
07/1993,15894.984324,0.07579866,0.07553015
08/1993,16551.431561,0.04129902,0.04103911
09/1993,15675.005932,-0.05295165,-0.05318803
10/1993,16315.579636,0.04086593,0.04060614
11/1993,15818.833447,-0.03044613,-0.03068812
12/1993,16499.861734,0.04305174,0.0427914
01/1994,17447.929147,0.05745911,0.05719518
02/1994,17039.954755,-0.0233824,-0.02362615
03/1994,16026.443995,-0.05947849,-0.05971324
04/1994,16316.471588,0.01809682,0.0178427
05/1994,15937.686124,-0.02321491,-0.02345871
06/1994,15626.484795,-0.01952613,-0.01977085
07/1994,15435.343787,-0.01223186,-0.0124784
08/1994,15743.783033,0.01998266,0.01972808
09/1994,15374.133898,-0.02347905,-0.02372279
10/1994,15311.532402,-0.00407187,-0.00432045
11/1994,15054.189224,-0.01680715,-0.01705255
12/1994,15609.398025,0.03688068,0.03662188
01/1995,15076.340821,-0.03414976,-0.03439083
02/1995,15153.664627,0.00512882,0.00487794
03/1995,15270.144361,0.00768657,0.00743506
04/1995,15416.707984,0.00959805,0.00934606
05/1995,15964.597755,0.0355387,0.03528024
06/1995,15875.495665,-0.00558123,-0.00582943
07/1995,16185.08779,0.01950126,0.0192468
08/1995,16471.326951,0.01768536,0.01743135
09/1995,17114.901228,0.0390724,0.03881305
10/1995,16778.284426,-0.01966805,-0.01991274
11/1995,17197.948208,0.02501232,0.02475648
12/1995,18176.628573,0.05690681,0.05664301
01/1996,18841.839373,0.03659704,0.03633831
02/1996,18869.076728,0.00144558,0.00119562
03/1996,18986.884005,0.0062434,0.00599225
04/1996,19531.239989,0.02867011,0.02841336
05/1996,19834.258844,0.01551457,0.01526111
06/1996,19840.483695,0.00031384,6.417e-05
07/1996,18998.52776,-0.04243626,-0.04267526
08/1996,19074.336314,0.00399023,0.00373964
09/1996,19634.391486,0.02936171,0.02910479
10/1996,19904.861894,0.01377534,0.01352231
11/1996,20704.325057,0.04016422,0.0399046
12/1996,21093.246836,0.01878457,0.01853028
01/1997,21691.552473,0.0283648,0.02810812
02/1997,22845.101006,0.05317962,0.05291675
03/1997,22604.271766,-0.01054183,-0.0107888
04/1997,22967.925541,0.01608783,0.01583422
05/1997,24250.159665,0.05582716,0.05556363
06/1997,25401.488884,0.04747718,0.04721574
07/1997,26933.918004,0.06032832,0.06006367
08/1997,26090.249614,-0.03132364,-0.03156542
09/1997,26924.560342,0.03197787,0.0317203
10/1997,25470.52983,-0.05400387,-0.05423999
11/1997,25511.058612,0.0015912,0.00134121
12/1997,27074.928995,0.06130167,0.06103677
01/1998,28145.701935,0.0395485,0.03928904
02/1998,29514.012446,0.04861526,0.04835353
03/1998,31190.780073,0.05681259,0.05654882
04/1998,30871.204703,-0.01024583,-0.01049287
05/1998,30304.588888,-0.01835419,-0.0185992
06/1998,30561.645553,0.00848243,0.00823072
07/1998,30383.917851,-0.00581538,-0.00606353
08/1998,27566.030042,-0.09274274,-0.09296919
09/1998,27085.602866,-0.01742823,-0.01767348
10/1998,28018.206035,0.03443169,0.0341735
11/1998,29638.063395,0.05781446,0.05755043
12/1998,30871.974093,0.04163264,0.04137265
01/1999,31523.171529,0.02109348,0.02083862
02/1999,31504.77565,-0.00058357,-0.00083302
03/1999,32897.256245,0.04419903,0.04393841
04/1999,34732.848602,0.05579773,0.05553421
05/1999,34689.343044,-0.00125258,-0.00150186
06/1999,35356.10048,0.01922081,0.01896642
07/1999,34588.73003,-0.02170405,-0.02194822
08/1999,34513.062802,-0.00218763,-0.00243668
09/1999,34069.790402,-0.01284361,-0.01309
10/1999,35857.264412,0.05246507,0.05220238
11/1999,37152.743389,0.03612877,0.03587016
12/1999,39050.051352,0.05106778,0.05080543
01/2000,38062.424371,-0.02529131,-0.02553459
02/2000,37151.729217,-0.02392636,-0.02416998
03/2000,40218.155639,0.08253792,0.08226772
04/2000,41679.407122,0.03633313,0.03607447
05/2000,40353.426429,-0.03181381,-0.03205546
06/2000,40035.506175,-0.0078784,-0.00812602
07/2000,40841.57207,0.02013378,0.01987916
08/2000,43485.031837,0.06472473,0.06445898
09/2000,44527.427875,0.02397138,0.0237158
10/2000,46362.484356,0.04121182,0.04095194
11/2000,44405.615524,-0.04220802,-0.04244708
12/2000,42471.173522,-0.043563,-0.04380173
01/2001,41194.479331,-0.03006025,-0.03030234
02/2001,40531.299651,-0.01609875,-0.01634433
03/2001,40536.511662,0.00012859,-0.00012103
04/2001,41914.757818,0.03400012,0.03374204
05/2001,44262.633272,0.05601548,0.05575191
06/2001,43268.242784,-0.02246569,-0.02270967
