month_year,price_eur,month_return,month_return_after_TER
06/1994,10000.0,-0.00168367,-0.00184988
07/1994,9983.163305,0.03476567,0.0345934
08/1994,10330.234709,-0.03092491,-0.03108625
09/1994,10010.773088,-0.00335367,-0.0035196
10/1994,9977.200213,-0.03717987,-0.03734016
11/1994,9606.249231,0.025777,0.02560623
12/1994,9853.869566,-0.04501593,-0.04517493
01/1995,9410.288428,0.00785243,0.00768464
02/1995,9484.182098,-0.00457054,-0.00473626
03/1995,9440.834279,0.01065813,0.01048987
04/1995,9541.455948,0.02832074,0.02814954
05/1995,9811.677076,-0.01180928,-0.0119738
06/1995,9695.808264,0.04004654,0.03987338
07/1995,10084.091804,0.00836793,0.00820005
08/1995,10168.474801,0.02531197,0.02514127
09/1995,10425.858946,-0.0445986,-0.04475766
10/1995,9960.880263,0.02779924,0.02762813
11/1995,10237.785187,0.0460092,0.04583505
12/1995,10708.817478,0.03929819,0.03912516
01/1996,11129.654597,0.02086468,0.02069472
02/1996,11361.871294,0.02040412,0.02023423
03/1996,11593.700243,0.04627797,0.04610378
04/1996,12130.233185,0.00634317,0.00617563
05/1996,12207.177312,-0.01086732,-0.011032
06/1996,12074.518015,-0.05188221,-0.05204006
07/1996,11448.065305,0.007648,0.00748024
08/1996,11535.620079,0.03379813,0.03362602
09/1996,11925.502447,0.00536476,0.00519738
10/1996,11989.479906,0.02703489,0.0268639
11/1996,12313.614172,0.01050219,0.01033396
12/1996,12442.934112,0.02560544,0.02543469
01/1997,12761.540854,0.05649044,0.05631454
02/1997,13482.445854,-0.00640734,-0.00657276
03/1997,13396.059296,0.00713179,0.00696412
04/1997,13491.597214,0.06284878,0.06267183
05/1997,14339.527623,0.04686915,0.04669486
06/1997,15011.609067,0.04068755,0.04051429
07/1997,15622.394706,-0.03527977,-0.03544038
08/1997,15071.240188,0.00314153,0.00297452
09/1997,15118.586928,-0.07856554,-0.07871895
10/1997,13930.786947,-0.050136,-0.05029414
11/1997,13232.352973,-0.0012688,-0.00143508
12/1997,13215.563752,0.05988525,0.05970879
01/1998,14006.9811,0.09191969,0.0917379
02/1998,15294.498521,0.03547474,0.03530235
03/1998,15837.066883,-0.01213027,-0.01229474
04/1998,15644.958961,-0.04050763,-0.04066738
05/1998,15011.218705,-0.01633626,-0.01650003
06/1998,14765.991481,-0.02173526,-0.02189813
07/1998,14445.04881,-0.14393328,-0.14407581
08/1998,12365.925484,-0.03192491,-0.03208608
09/1998,11971.144485,0.07516579,0.07498679
10/1998,12870.96504,0.07301641,0.07283777
11/1998,13810.756753,0.01744477,0.01727537
12/1998,14051.682168,0.02729719,0.02712616
01/1999,14435.253642,0.01150166,0.01133326
02/1999,14601.283064,0.07902559,0.07884595
03/1999,15755.158053,0.10283314,0.10264953
04/1999,17375.310403,-0.01822367,-0.01838712
05/1999,17058.668566,0.05065117,0.05047625
06/1999,17922.710145,-0.02023054,-0.02039366
07/1999,17560.123994,0.00931065,0.00914262
08/1999,17723.620221,-0.01610978,-0.01627358
09/1999,17438.096684,0.02595801,0.0257872
10/1999,17890.754919,0.03314101,0.03296901
11/1999,18483.672642,0.04947511,0.04930039
12/1999,19398.154353,-0.0184614,-0.01862481
01/2000,19040.037351,-0.00975132,-0.00991618
02/2000,18854.371922,0.09124447,0.0910628
03/2000,20574.729188,0.02806674,0.02789559
04/2000,21152.194853,-0.01923675,-0.01940003
05/2000,20745.29538,0.02092908,0.02075911
06/2000,21179.475352,0.00154864,0.00138189
07/2000,21212.274703,0.07082437,0.07064609
08/2000,22714.620671,-0.01758242,-0.01774598
09/2000,22315.242755,0.01920735,0.01903767
10/2000,22743.859522,-0.04991353,-0.05007171
11/2000,21608.633149,-0.0319276,-0.03208877
12/2000,20918.721388,0.02854993,0.02837869
01/2001,21515.949411,-0.03349402,-0.03365493
02/2001,20795.293678,-0.02648841,-0.02665048
03/2001,20244.459512,0.07435765,0.07417878
04/2001,21749.789858,0.0402817,0.0401085
05/2001,22625.908294,-0.03435943,-0.0345202
06/2001,21848.494922,-0.04870325,-0.04886163
07/2001,20784.402151,-0.06362582,-0.06378172
08/2001,19461.977472,-0.12786529,-0.12801049
09/2001,16973.466049,0.0443819,0.04420802
10/2001,17726.780686,0.08541535,0.08523465
11/2001,19240.919898,0.01150552,0.01133712
12/2001,19462.29674,-0.00314402,-0.00330998
01/2002,19401.106959,0.00169164,0.00152488
02/2002,19433.926722,0.05567874,0.05550298
03/2002,20515.983254,-0.03031189,-0.03047333
04/2002,19894.105068,-0.01728659,-0.0174502
05/2002,19550.203874,-0.11197957,-0.11212741
06/2002,17360.98045,-0.07853835,-0.07869176
07/2002,15997.477732,-0.0117313,-0.01189584
08/2002,15809.806485,-0.11239753,-0.1125453
09/2002,14032.8233,0.03431079,0.03413859
10/2002,14514.300554,0.06189101,0.06171422
11/2002,15412.605305,-0.08645677,-0.08660887
12/2002,14080.081182,-0.04916939,-0.04932769
01/2003,13387.772243,-0.0145128,-0.01467687
02/2003,13193.478226,-0.02385547,-0.02401799
03/2003,12878.741577,0.0723529,0.07217437
04/2003,13810.555918,0.01822127,0.01805176
05/2003,14062.201855,0.06819693,0.06801909
06/2003,15021.20087,0.04342981,0.04325609
07/2003,15673.568766,0.09373233,0.09355024
08/2003,17142.688858,-0.03698252,-0.03714285
09/2003,16508.709033,0.07337639,0.07319769
10/2003,17720.058523,-0.02061673,-0.02077978
11/2003,17354.728884,0.00850412,0.00833622
12/2003,17502.315557,0.04663354,0.04645929
01/2004,18318.510528,0.01905334,0.01888368
02/2004,18667.539312,0.03736562,0.03719291
03/2004,19365.063534,-0.00814116,-0.00830629
04/2004,19207.409513,-0.015617,-0.01578088
05/2004,18907.447465,0.03660183,0.03642925
06/2004,19599.494583,-0.02880788,-0.02896957
07/2004,19034.874729,0.00030849,0.00014195
08/2004,19040.746738,0.00414253,0.00397535
09/2004,19119.6236,0.00475753,0.00459025
10/2004,19210.585754,0.02509496,0.0249243
11/2004,19692.674721,0.01867511,0.01850551
12/2004,20060.437556,0.03079676,0.03062515
01/2005,20678.234075,0.01763608,0.01746666
02/2005,21042.917078,0.00223795,0.00207109
03/2005,21090.009981,-0.02827272,-0.0284345
04/2005,20493.738005,0.06573313,0.0655557
05/2005,21840.855539,0.03867556,0.03850264
06/2005,22685.562897,0.03853977,0.03836687
07/2005,23559.859373,0.00917675,0.00900873
08/2005,23776.062203,0.04680403,0.04662975
09/2005,24888.87777,-0.03036177,-0.03052321
10/2005,24133.207283,0.05927348,0.05909713
11/2005,25563.666515,0.03923026,0.03905724
12/2005,26566.535709,0.02913924,0.0289679
01/2006,27340.664371,0.02055932,0.02038941
02/2006,27902.769857,0.01107517,0.01090684
03/2006,28211.797772,-0.00286757,-0.00303357
04/2006,28130.898603,-0.06683803,-0.06699339
05/2006,26250.684675,0.00479655,0.00462927
06/2006,26376.597426,-0.01185275,-0.01201726
07/2006,26063.962245,0.02350941,0.02333901
08/2006,26676.71054,0.02706415,0.02689316
09/2006,27398.692991,0.03499498,0.03482267
10/2006,28357.509811,-0.00473963,-0.00490532
11/2006,28223.10583,0.02536439,0.02519368
12/2006,28938.967634,0.03572797,0.03555553
01/2007,29972.898122,-0.00939361,-0.00955853
02/2007,29691.34448,0.01306184,0.01289318
03/2007,30079.168141,0.0153374,0.01516836
04/2007,30540.504356,0.0355409,0.03536849
05/2007,31625.941263,-0.0143063,-0.0144704
06/2007,31173.491207,-0.03536937,-0.03552996
07/2007,30070.904615,-0.01419303,-0.01435715
08/2007,29644.107357,0.00334465,0.0031776
09/2007,29743.256382,0.01207536,0.01190687
10/2007,30102.417049,-0.07294527,-0.07309961
11/2007,27906.588067,-0.01665359,-0.01681731
12/2007,27441.843128,-0.08292773,-0.08308041
01/2008,25166.153349,-0.01346934,-0.01363359
02/2008,24827.181784,-0.05263853,-0.05279625
03/2008,23520.315437,0.06210696,0.06193013
04/2008,24981.0907,0.02198502,0.02181487
05/2008,25530.300483,-0.10669519,-0.10684392
06/2008,22806.34012,-0.0221124,-0.0222752
07/2008,22302.037275,0.04555767,0.0453836
08/2008,23318.066123,-0.11009767,-0.11024582
09/2008,20750.801417,-0.1272555,-0.1274008
10/2008,18110.147831,-0.04552509,-0.04568399
11/2008,17285.681772,-0.03006078,-0.03022227
12/2008,16766.060622,-0.00609292,-0.00625839
01/2009,16663.906417,-0.0938277,-0.09397856
02/2009,15100.370437,0.03713924,0.03696657
03/2009,15661.186673,0.17022383,0.170029
04/2009,18327.0938,0.04078504,0.04061176
05/2009,19074.565071,-0.00010104,-0.00026751
06/2009,19072.637834,0.08514776,0.0849671
07/2009,20696.630269,0.04084979,0.04067651
08/2009,21542.083348,0.02016613,0.01999628
09/2009,21976.503746,-0.04035762,-0.04051739
10/2009,21089.584312,0.01376167,0.01359289
11/2009,21379.812182,0.07084888,0.0706706
12/2009,22894.547876,0.00219948,0.00203263
01/2010,22944.904037,0.04631914,0.04614494
02/2010,24007.692178,0.07270083,0.07252224
03/2010,25753.071274,0.02280887,0.02263859
04/2010,26340.469772,-0.02151817,-0.02168108
05/2010,25773.670953,-0.02527904,-0.02544132
06/2010,25122.137191,0.01747522,0.01730582
07/2010,25561.152006,-0.00898991,-0.0091549
08/2010,25331.359477,0.02213706,0.02196689
09/2010,25892.12126,0.01899649,0.01882684
10/2010,26383.980732,0.04886413,0.04868951
11/2010,27673.210972,0.04982247,0.04964769
12/2010,29051.958792,-0.00680839,-0.00697375
01/2011,28854.161625,0.02287651,0.02270621
02/2011,29514.244089,-0.03420441,-0.03436521
03/2011,28504.726679,-0.00740737,-0.00757262
04/2011,28293.581742,0.01429799,0.01412913
05/2011,28698.123218,-0.01999086,-0.02015402
06/2011,28124.422931,-0.0024438,-0.00260988
07/2011,28055.692358,-0.08562727,-0.0857795
08/2011,25653.359994,-0.03280156,-0.03296259
09/2011,24811.889647,0.05637961,0.05620373
10/2011,26210.77421,0.0055279,0.00536049
11/2011,26355.664619,0.02736751,0.02719646
12/2011,27076.953437,0.04413219,0.04395836
01/2012,28271.918815,0.02939644,0.02922506
02/2012,29103.012599,0.01476458,0.01459564
03/2012,29532.706471,-0.00606822,-0.0062337
04/2012,29353.495373,-0.04075414,-0.04091384
05/2012,28157.219042,0.0336085,0.03343642
06/2012,29103.541005,0.02790139,0.02773026
07/2012,29915.570361,-0.00183486,-0.00200104
08/2012,29860.679434,0.00549028,0.00532288
09/2012,30024.622866,-0.00492372,-0.00508938
10/2012,29876.790175,0.01733197,0.0171626
11/2012,30394.613867,0.01405016,0.01388133
12/2012,30821.663022,0.02397975,0.02380927
01/2013,31560.758761,0.03811099,0.03793816
02/2013,32763.570407,0.05144071,0.05126566
03/2013,34448.951834,0.01452553,0.01435662
04/2013,34949.341033,-0.00440261,-0.00456836
05/2013,34795.472864,-0.02997537,-0.03013687
06/2013,33752.465573,0.03502851,0.03485619
07/2013,34934.764176,-0.01453971,-0.01470377
08/2013,34426.82301,0.04059616,0.04042292
