month_year,price_eur,month_return,month_return_after_TER
12/1987,10000.0,0.11004716,0.10995471
01/1988,11100.471624,0.03250495,0.03241895
02/1988,11461.291864,0.09248093,0.09238994
03/1988,12521.242776,0.04718365,0.04709643
04/1988,13112.040735,0.04019079,0.04010416
05/1988,13639.024029,0.07246834,0.07237901
06/1988,14627.421429,0.02376493,0.02367966
07/1988,14975.041011,-0.00489754,-0.00498042
08/1988,14901.700172,0.05713264,0.05704459
09/1988,15753.073629,-0.03097402,-0.03105473
10/1988,15265.137566,-0.04365853,-0.04373819
11/1988,14598.684052,0.02769996,0.02761437
12/1988,15003.067021,0.02657245,0.02648695
01/1989,15401.735235,0.08989946,0.08980869
02/1989,16786.342961,0.10701366,0.10692146
03/1989,18582.710906,0.19642327,0.19632362
04/1989,22232.787692,0.05703854,0.0569505
05/1989,23500.913334,-0.105472,-0.1055465
06/1989,21022.225105,0.01932871,0.01924381
07/1989,21428.557606,0.03906493,0.03897839
08/1989,22265.662813,0.14333047,0.14323525
09/1989,25457.010834,-0.02414555,-0.02422682
10/1989,24842.337389,-0.06024214,-0.06032041
11/1989,23345.781877,0.07591752,0.07582791
12/1989,25118.135784,0.00266437,0.00258086
01/1990,25185.05979,0.02548554,0.02540013
02/1990,25826.91475,-0.12012889,-0.12020217
03/1990,22724.356101,0.05843718,0.05834902
04/1990,24052.303348,0.06449646,0.0644078
05/1990,25603.591857,0.04156656,0.04147981
06/1990,26667.845174,0.05534025,0.05525236
07/1990,28143.650463,-0.16595625,-0.16602571
08/1990,23473.035872,-0.12623892,-0.1263117
09/1990,20509.825072,-0.04732146,-0.04740081
10/1990,19539.270186,-0.07092536,-0.07100274
11/1990,18153.440453,0.05459025,0.05450242
12/1990,19144.441341,0.08353576,0.08344552
01/1991,20743.686825,0.12885403,0.12876001
02/1991,23416.594515,0.13318488,0.1330905
03/1991,26535.330931,0.0644026,0.06431395
04/1991,28244.275177,0.09289079,0.09279976
05/1991,30867.908128,0.00024655,0.00016324
06/1991,30875.518511,0.05321537,0.05312765
07/1991,32518.570798,-0.00139445,-0.00147762
08/1991,32473.225382,-0.06486399,-0.06494188
09/1991,30366.882306,0.03943265,0.03934607
10/1991,31564.32884,-0.0517051,-0.05178409
11/1991,29932.291908,0.07703489,0.07694519
12/1991,32238.122759,0.12362792,0.12353434
01/1992,36223.654913,0.06748766,0.06739875
02/1992,38668.304701,0.06147276,0.06138435
03/1992,41045.352174,-0.01590222,-0.01598418
04/1992,40392.639907,-0.02263231,-0.02271371
05/1992,39478.461117,-0.12497788,-0.12505076
06/1992,34544.526822,-0.03721408,-0.03729427
07/1992,33258.983939,-0.07066899,-0.07074639
08/1992,30908.605057,0.02661619,0.02653069
09/1992,31731.274421,0.09731033,0.09721894
10/1992,34819.055306,0.0540346,0.05394681
11/1992,36700.48913,0.02872973,0.02864405
12/1992,37754.884336,0.02446035,0.02437503
01/1993,38678.3822,0.04210247,0.04201567
02/1993,40306.8375,0.03815551,0.03806904
03/1993,41844.765303,-0.01181,-0.0118923
04/1993,41350.578732,0.03039635,0.03031053
05/1993,42607.485477,0.05970086,0.0596126
06/1993,45151.188885,0.06994656,0.06985744
07/1993,48309.359122,0.09272455,0.09263354
08/1993,52788.822781,-0.00463666,-0.00471956
09/1993,52544.05892,0.10251541,0.10242358
10/1993,57930.634596,0.0722978,0.07220849
11/1993,62118.892023,0.16477971,0.1646827
12/1993,72354.825339,0.03200015,0.03191419
01/1994,74670.190409,-0.02156766,-0.02164915
02/1994,73059.72935,-0.10929295,-0.10936713
03/1994,65074.816242,-0.01716103,-0.01724289
04/1994,63958.065419,0.01199653,0.01191225
05/1994,64725.340543,-0.04335461,-0.04343429
06/1994,61919.198342,0.02944232,0.02935658
07/1994,63742.243131,0.12540442,0.12531069
08/1994,71735.802216,0.00052683,0.0004435
09/1994,71773.594837,-0.03680494,-0.03688516
10/1994,69131.97205,-0.03789758,-0.03797771
11/1994,66512.037837,-0.06150706,-0.06158523
12/1994,62421.077932,-0.12465546,-0.12472837
01/1995,54639.949511,-0.03631233,-0.03639259
02/1995,52655.845829,-0.03275071,-0.03283127
03/1995,50931.329673,0.02487087,0.02478551
04/1995,52198.035945,0.06947185,0.06938277
05/1995,55824.329876,-0.00541028,-0.00549312
06/1995,55522.304399,0.01056594,0.01048177
07/1995,56108.949711,0.00600895,0.00592516
08/1995,56446.105461,0.00802258,0.00793863
09/1995,56898.949073,-0.05324098,-0.05331983
10/1995,53869.593362,-0.01571081,-0.01579279
11/1995,53023.258208,0.06089135,0.06080299
12/1995,56251.916002,0.08408569,0.0839954
01/1996,60981.897334,-0.0102447,-0.01032713
02/1996,60357.156249,0.00714572,0.00706184
03/1996,60788.451491,0.04884989,0.04876253
04/1996,63757.960714,0.00761118,0.00752726
05/1996,64243.234047,-0.00155908,-0.00164224
06/1996,64143.073867,-0.08250004,-0.08257646
07/1996,58851.267494,0.01629885,0.0162142
08/1996,59810.475207,0.01740526,0.01732052
09/1996,60851.492176,-0.02364208,-0.0237234
10/1996,59412.836324,0.00370602,0.00362242
11/1996,59633.021197,0.02675589,0.02667038
12/1996,61228.555895,0.09726399,0.0971726
01/1997,67183.889732,0.08825947,0.08816883
02/1997,73113.504133,-0.01496515,-0.01504719
03/1997,72019.349764,0.00721665,0.00713276
04/1997,72539.088312,0.02547089,0.02538548
05/1997,74386.723314,0.06535325,0.06526452
06/1997,79248.137739,0.04316651,0.04307962
07/1997,82669.00311,-0.10235554,-0.1024303
08/1997,74207.37301,0.00075423,0.00067088
09/1997,74263.342555,-0.17926005,-0.17932841
