month_year,price_eur,month_return,month_return_after_TER
12/1987,10000.0,,
01/1988,10362.21214,0.03622121,0.03616079
02/1988,11282.110059,0.08877428,0.08871079
03/1988,11476.420853,0.01722291,0.0171636
04/1988,11556.98683,0.00702013,0.00696141
05/1988,11443.912967,-0.00978403,-0.00984177
06/1988,11860.614286,0.03641249,0.03635205
07/1988,12692.719557,0.07015701,0.07009461
08/1988,12268.079967,-0.03345537,-0.03351173
09/1988,12705.951238,0.03569192,0.03563152
10/1988,13206.1402,0.03936651,0.0393059
11/1988,13111.62294,-0.00715707,-0.00721496
12/1988,13247.062766,0.01032975,0.01027084
01/1989,14271.5171,0.07733445,0.07727163
02/1989,14363.729488,0.00646129,0.0064026
03/1989,14380.523217,0.00116918,0.0011108
04/1989,14824.704615,0.03088771,0.0308276
05/1989,15097.170723,0.01837919,0.01831981
06/1989,15156.392568,0.00392271,0.00386417
07/1989,16134.110132,0.06450859,0.06444652
08/1989,15999.009408,-0.00837361,-0.00843143
09/1989,16736.539218,0.04609847,0.04603747
10/1989,15588.741378,-0.06858036,-0.06863467
11/1989,15970.501448,0.02448947,0.02442973
12/1989,15816.957841,-0.0096142,-0.00967195
01/1990,14648.831209,-0.0738528,-0.07390681
02/1990,13848.459493,-0.05463724,-0.05469237
03/1990,13221.543473,-0.04526973,-0.0453254
04/1990,12888.75841,-0.02516991,-0.02522675
05/1990,14003.356298,0.0864783,0.08641494
06/1990,14003.615336,1.85e-05,-3.981e-05
07/1990,13718.972345,-0.02032639,-0.02038352
08/1990,11882.573531,-0.13385834,-0.13390884
09/1990,10658.782997,-0.10299036,-0.10304267
10/1990,11298.613516,0.06002848,0.05996667
11/1990,10889.580589,-0.03620205,-0.03625825
12/1990,11256.109959,0.03365872,0.03359845
01/1991,11701.47668,0.03956666,0.03950605
02/1991,12589.058648,0.07585213,0.0757894
03/1991,13320.208712,0.05807822,0.05801652
04/1991,14148.50444,0.06218339,0.06212145
05/1991,14680.777572,0.03762045,0.03755995
06/1991,14299.854233,-0.02594708,-0.02600388
07/1991,15000.589942,0.049003,0.04894183
08/1991,14640.996177,-0.02397197,-0.02402889
09/1991,14599.65964,-0.00282334,-0.00288149
10/1991,14834.158307,0.01606193,0.01600268
11/1991,13664.873025,-0.07882384,-0.07887755
12/1991,14213.518422,0.04015005,0.0400894
01/1992,14099.681533,-0.00800906,-0.0080669
02/1992,14193.289601,0.00663902,0.00658032
03/1992,13924.026879,-0.01897113,-0.01902833
04/1992,13983.490233,0.00427056,0.004212
05/1992,14241.921586,0.01848118,0.01842179
06/1992,13341.067347,-0.0632537,-0.06330832
07/1992,12747.021001,-0.04452765,-0.04458336
08/1992,12704.204986,-0.0033589,-0.00341702
09/1992,12886.939834,0.01438381,0.01432466
10/1992,13094.69039,0.01612102,0.01606176
11/1992,14184.781931,0.08324684,0.08318367
12/1992,14309.697963,0.00880634,0.00874752
01/1993,14640.787491,0.02313742,0.02307776
02/1993,15358.471875,0.04901952,0.04895835
03/1993,16320.996452,0.0626706,0.06260863
04/1993,16481.739034,0.00984882,0.00978994
05/1993,16910.515641,0.02601525,0.02595542
06/1993,17291.088378,0.02250509,0.02244547
07/1993,18398.230914,0.06402966,0.06396762
08/1993,19417.903101,0.0554223,0.05536075
09/1993,18333.23957,-0.05585894,-0.055914
10/1993,19097.764143,0.04170155,0.04164081
11/1993,18591.240649,-0.02652266,-0.02657942
12/1993,19588.082573,0.0536189,0.05355746
01/1994,21170.337446,0.0807764,0.08071338
02/1994,20784.073316,-0.01824553,-0.01830278
03/1994,19439.825283,-0.06467683,-0.06473137
04/1994,20026.383606,0.03017302,0.03011295
05/1994,19711.49871,-0.0157235,-0.0157809
06/1994,19297.24298,-0.02101594,-0.02107303
07/1994,19116.460033,-0.00936833,-0.0094261
08/1994,19820.13486,0.03680989,0.03674943
09/1994,19147.316171,-0.03394622,-0.03400255
10/1994,19262.73741,0.00602806,0.0059694
11/1994,18700.186326,-0.02920411,-0.02926072
12/1994,19149.219099,0.02401221,0.0239525
01/1995,18376.15536,-0.04037051,-0.04042647
02/1995,18369.127133,-0.00038246,-0.00044075
03/1995,18464.03425,0.00516666,0.00510805
04/1995,18769.496339,0.01654363,0.01648435
05/1995,19269.910739,0.02666105,0.02660118
06/1995,19113.356387,-0.00812429,-0.00818213
07/1995,19805.279226,0.03620101,0.03614059
