month_year,price_eur,month_return,month_return_after_TER
12/1978,10000.0,0.03989309,0.03971996
01/1979,10398.930905,-0.01443243,-0.01459652
02/1979,10248.849017,0.04160245,0.04142904
03/1979,10675.226278,0.00967448,0.00950639
04/1979,10778.503583,-0.0064594,-0.00662481
05/1979,10708.880945,0.01689857,0.01672927
06/1979,10889.845759,-0.02858215,-0.02874388
07/1979,10578.590507,0.04328879,0.04311509
08/1979,11036.524854,0.01140334,0.01123496
09/1979,11162.378098,-0.07043418,-0.07058894
10/1979,10376.165103,0.02655691,0.026386
11/1979,10651.723984,0.00367772,0.00351063
12/1979,10690.898083,0.0497382,0.04956344
01/1980,11222.644152,0.00974212,0.00957401
02/1980,11331.976525,-0.06027339,-0.06042984
03/1980,10648.959922,0.07818559,0.07800609
04/1980,11481.555131,0.00375086,0.00358375
05/1980,11524.620863,0.03252678,0.03235487
06/1980,11899.479614,0.01789687,0.0177274
07/1980,12112.443055,0.03972503,0.03955193
08/1980,12593.610216,0.02754555,0.02737448
09/1980,12940.508191,0.05498086,0.05480522
10/1980,13651.988424,0.07829052,0.078111
11/1980,14720.8097,0.00896472,0.00879674
12/1980,14852.777657,-0.02623145,-0.02639357
01/1981,14463.167713,0.0711618,0.07098346
02/1981,15492.392711,0.03618473,0.03601222
03/1981,16052.980807,0.02700835,0.02683737
04/1981,16486.545397,0.04031001,0.04013681
05/1981,17151.118184,0.03643987,0.03626732
06/1981,17776.102685,0.01300014,0.01283149
07/1981,18007.194521,0.00684171,0.00667408
08/1981,18130.394516,-0.11721654,-0.11736351
09/1981,16005.212422,4.434e-05,-0.00012215
10/1981,16005.922155,0.06271953,0.0625426
11/1981,17009.806024,-0.00784059,-0.00800577
12/1981,16876.439054,0.00027828,0.00011175
01/1982,16881.135392,-0.02933849,-0.02950009
02/1982,16385.868405,-0.0096378,-0.00980268
03/1982,16227.944726,0.06518251,0.06500517
04/1982,17285.722889,-0.05857693,-0.05873366
05/1982,16273.178336,0.0101459,0.00997772
06/1982,16438.284351,0.00820398,0.00803613
07/1982,16573.143718,0.07899165,0.07881202
08/1982,17882.283764,0.01393967,0.01377086
09/1982,18131.556845,0.08124736,0.08106734
10/1982,19604.697884,0.07048175,0.07030353
11/1982,20986.471366,0.00177616,0.00160938
12/1982,21023.746731,0.01403211,0.01386329
01/1983,21318.754321,0.0396254,0.03945231
02/1983,22163.518418,0.04029416,0.04012096
03/1983,23056.578701,0.08672039,0.08653947
04/1983,25056.054263,-0.00371897,-0.00388484
05/1983,24962.871571,0.06290278,0.06272582
06/1983,26533.105653,-0.00460793,-0.00477365
07/1983,26410.842845,0.03787289,0.0377001
08/1983,27411.097731,0.02080034,0.02063039
09/1983,27981.2578,-0.02812344,-0.02828525
10/1983,27194.328513,0.05315181,0.05297647
11/1983,28639.756228,0.03836029,0.03818741
12/1983,29738.385513,0.03081787,0.03064626
01/1984,30654.859316,-0.04675944,-0.04691814
02/1984,29221.455242,0.0096556,0.0094875
03/1984,29503.605892,0.01387996,0.01371117
04/1984,29913.114839,-0.0407293,-0.040889
05/1984,28694.774731,0.00834845,0.00818057
06/1984,28934.331594,0.00113488,0.00096821
07/1984,28967.168655,0.11263086,0.11244562
08/1984,32229.765663,0.0431775,0.04300382
09/1984,33621.36624,0.02894766,0.02877636
10/1984,34594.626243,-0.02991315,-0.03007465
11/1984,33559.792065,0.06107529,0.06089863
12/1984,35609.466009,0.08079011,0.08061017
01/1985,38486.358723,0.03915215,0.03897915
02/1985,39993.182542,0.03690733,0.0367347
03/1985,41469.224226,-0.07186374,-0.07201826
04/1985,38489.090821,0.05857869,0.05840245
05/1985,40743.731456,-4.145e-05,-0.00020793
06/1985,40742.042461,-0.02928591,-0.02944752
07/1985,39548.874721,-0.02654745,-0.02670952
08/1985,38498.952936,0.0236415,0.02347108
09/1985,39409.125991,-0.01107427,-0.01123891
10/1985,38972.698767,0.03533506,0.03516269
11/1985,40349.801513,0.02198957,0.02181943
12/1985,41237.07649,-0.00628088,-0.00644632
01/1986,40978.071389,0.04709296,0.04691863
02/1986,42907.850041,0.06734117,0.06716347
03/1986,45797.314976,0.03276992,0.03259798
04/1986,47298.089277,-0.02037594,-0.02053903
05/1986,46334.346426,0.04419065,0.04401681
06/1986,48381.891296,-0.02162393,-0.02178682
07/1986,47335.684571,0.05464442,0.05446883
08/1986,49922.315517,-0.04735908,-0.04751768
09/1986,47558.040733,-0.02820421,-0.028366
10/1986,46216.703726,0.05286955,0.05269426
11/1986,48660.159988,0.0053191,0.00515173
12/1986,48918.988421,0.05032002,0.05014515
01/1987,51380.592656,0.01464202,0.01447309
02/1987,52132.908088,0.06008883,0.05991234
03/1987,55265.513441,0.04475082,0.04457688
04/1987,57738.690406,-0.01081938,-0.01098406
05/1987,57113.993755,0.01724257,0.01707321
06/1987,58098.785607,0.03462916,0.03445691
07/1987,60110.697558,0.06723616,0.06705848
08/1987,64152.310219,-0.04311521,-0.04327452
09/1987,61386.369915,-0.17592428,-0.17606147
10/1987,50587.017198,-0.08343542,-0.08358802
11/1987,46366.26792,0.01144842,0.01128002
12/1987,46897.088251,0.03498781,0.0348155
01/1988,48537.914861,0.08843443,0.08825322
02/1988,52830.337489,0.01606188,0.01589272
03/1988,53678.892283,0.00638953,0.00622197
04/1988,54021.874909,-0.01051991,-0.01068464
05/1988,53453.569837,0.03551786,0.03534546
06/1988,55352.126301,0.06993561,0.06975748
07/1988,59223.211243,-0.03395632,-0.03411716
08/1988,57212.208771,0.03463356,0.03446131
09/1988,59193.671462,0.03996956,0.03979642
10/1988,61559.616525,-0.00637307,-0.00653849
11/1988,61167.293042,0.0098876,0.00971947
12/1988,61772.09104,0.07702743,0.07684812
01/1989,66530.23651,0.00581996,0.00565251
02/1989,66917.44002,-6e-06,-0.00017249
03/1989,66917.038515,0.02851752,0.02834629
04/1989,68825.34673,0.01713741,0.01696807
05/1989,70004.834924,0.00629669,0.00612915
06/1989,70445.633525,0.06423091,0.06405373
07/1989,74970.420787,-0.00932992,-0.00949485
08/1989,74270.952751,0.04376442,0.04359065
09/1989,77521.378124,-0.06996113,-0.07011597
10/1989,72097.895125,0.02479199,0.02462138
11/1989,73885.345411,-0.01055531,-0.01072003
12/1989,73105.463002,-0.07485458,-0.0750086
01/1990,67633.184251,-0.05579518,-0.05595238
02/1990,63859.578515,-0.04420211,-0.04436123
03/1990,61036.850563,-0.027318,-0.02747994
04/1990,59369.446071,0.08697055,0.08678959
05/1990,64532.83963,-0.00069128,-0.00085766
06/1990,64488.229114,-0.02162823,-0.02179111
07/1990,63093.463136,-0.13376325,-0.13390747
08/1990,54653.876273,-0.10429334,-0.10444247
09/1990,48953.840829,0.06094408,0.06076745
10/1990,51937.287757,-0.03621636,-0.03637681
11/1990,50056.308446,0.03265029,0.03247837
12/1990,51690.661555,0.03879573,0.03862278
01/1991,53696.0384,0.07406819,0.07388937
02/1991,57673.206652,0.05603903,0.05586321
03/1991,60905.157114,0.06121734,0.06104067
04/1991,64633.609099,0.03603082,0.03585833
05/1991,66962.410991,-0.02704927,-0.02721126
06/1991,65151.126505,0.04826948,0.04809496
07/1991,68295.937819,-0.02541107,-0.02557332
08/1991,66560.465106,-0.00239064,-0.00255673
09/1991,66401.343182,0.01457062,0.01440171
10/1991,67368.851984,-0.07964023,-0.07979346
11/1991,62003.58083,0.0384183,0.03824542
12/1991,64385.653188,-0.01189435,-0.01205886
01/1992,63619.827641,0.00413797,0.00397079
02/1992,63883.084382,-0.02194808,-0.02211091
03/1992,62480.973441,0.00447236,0.00430513
04/1992,62760.410692,0.01959025,0.0194205
05/1992,63989.902897,-0.06145913,-0.06161539
06/1992,60057.139063,-0.04545002,-0.04560893
07/1992,57327.541184,-0.00183193,-0.00199811
08/1992,57222.521052,0.01339417,0.01322545
09/1992,57988.969071,0.0130498,0.01288114
10/1992,58745.713486,0.08423997,0.08405946
11/1992,63694.450823,0.0071156,0.00694793
12/1992,64147.674908,0.0226344,0.02246415
01/1993,65599.61933,0.04888788,0.04871326
02/1993,68806.645966,0.0628898,0.06271285
03/1993,73133.882498,0.01047804,0.01030981
04/1993,73900.182541,0.0253031,0.0251324
05/1993,75770.086438,0.02028418,0.02011432
06/1993,77307.020508,0.06361743,0.06344035
07/1993,82225.094511,0.05358105,0.05340565
08/1993,86630.801708,-0.05772872,-0.05788559
09/1993,81629.716618,0.0393759,0.03920285
10/1993,84843.959864,-0.03147141,-0.03163265
11/1993,82173.801118,0.04822315,0.04804864
12/1993,86136.480901,0.080173,0.07999316
01/1994,93042.300765,-0.01695777,-0.01712143
02/1994,91464.510843,-0.06311456,-0.06327054
03/1994,85691.768608,0.03366683,0.03349474
04/1994,88576.738529,-0.01919665,-0.01935994
05/1994,86876.361771,-0.019195,-0.01935829
06/1994,85208.770178,-0.01261634,-0.01278073
07/1994,84133.74722,0.03107055,0.03089889
08/1994,86747.828762,-0.03692784,-0.03708818
09/1994,83544.418716,0.00856493,0.00839702
10/1994,84259.970795,-0.02937067,-0.02953227
11/1994,81785.199051,0.03009431,0.02992281
12/1994,84246.46811,-0.03537649,-0.03553709
01/1995,81266.123372,0.00323284,0.00306581
02/1995,81528.84342,0.00723581,0.00706812
03/1995,82118.770881,0.01482444,0.01465549
04/1995,83336.135892,0.02390724,0.02373677
05/1995,85328.472813,-0.00887125,-0.00903626
06/1995,84571.502392,0.03761004,0.0374373
07/1995,87752.240325,0.00710254,0.00693487
08/1995,88375.504082,0.04211043,0.04193693
09/1995,92097.034435,-0.03126771,-0.03142899
10/1995,89217.370932,0.0367392,0.0365666
11/1995,92495.146147,0.04532241,0.04514838
12/1995,96687.249308,0.03024138,0.03006986
01/1996,99611.205177,0.01166462,0.0114962
02/1996,100773.132382,0.01578481,0.0156157
03/1996,102363.817084,0.03203424,0.03186242
04/1996,105642.96433,0.01280275,0.01263413
05/1996,106995.484505,-0.00293656,-0.00310255
06/1996,106681.28625,-0.05019645,-0.05035458
07/1996,101326.264254,0.00211821,0.00195137
08/1996,101540.894918,0.04795101,0.04777654
09/1996,106409.883651,0.00991475,0.00974661
10/1996,107464.91085,0.04229001,0.04211648
11/1996,112009.602955,0.00557138,0.00540397
12/1996,112633.651529,0.03938587,0.03921282
01/1997,117069.825551,0.05537561,0.0551999
02/1997,123552.638288,-0.00859119,-0.00875624
03/1997,122491.174551,0.03811405,0.03794122
04/1997,127159.809477,0.05829078,0.05811459
05/1997,134572.054518,0.06149704,0.06132031
06/1997,142847.836891,0.07499361,0.07481464
07/1997,153560.512305,-0.04044187,-0.04060163
