month_year,price_eur,month_return,month_return_after_TER
12/1998,99.968221,-0.03655652,-0.03675696
01/1999,96.313731,-0.04343824,-0.04363725
02/1999,92.130032,-0.0123476,-0.01255309
03/1999,90.992447,0.01349785,0.01328699
04/1999,92.220649,-0.00126757,-0.00147536
05/1999,92.103753,-0.01707469,-0.01727919
06/1999,90.53111,0.00031203,0.00010391
07/1999,90.559358,-0.00028889,-0.00049688
08/1999,90.533196,-0.06570096,-0.06589534
09/1999,84.585078,0.02324808,0.0230352
10/1999,86.551519,-0.00766394,-0.0078704
11/1999,85.888193,-0.023274,-0.02347721
12/1999,83.889231,-0.07846359,-0.07865531
01/2000,77.306981,-0.07307839,-0.07327124
02/2000,71.657511,-0.00266554,-0.00287304
03/2000,71.466505,0.01771766,0.01750592
04/2000,72.732724,0.06880448,0.06858211
05/2000,77.737061,0.03346701,0.033252
06/2000,80.338688,-0.01729381,-0.01749826
07/2000,78.949326,-0.01618054,-0.01638523
08/2000,77.671883,0.0366987,0.03648301
09/2000,80.52234,0.06280271,0.06258159
10/2000,85.579361,0.04747197,0.04725404
11/2000,89.641982,0.03739655,0.03718072
12/2000,92.994283,-0.06365479,-0.0638496
01/2001,87.074751,0.00941341,0.0092034
02/2001,87.894421,-0.05483059,-0.05502723
03/2001,83.075118,0.00892874,0.00871883
04/2001,83.816874,0.0090216,0.00881167
05/2001,84.573036,-0.01557557,-0.01578038
06/2001,83.255763,0.01051585,0.01030561
07/2001,84.131268,0.02579378,0.02558036
08/2001,86.301331,-0.02546743,-0.02567018
09/2001,84.103458,-0.01409736,-0.01430248
10/2001,82.917821,0.01644851,0.01623704
11/2001,84.281696,0.01086954,0.01065922
12/2001,85.197799,-0.00501247,-0.00521947
01/2002,84.770748,0.03078287,0.03056841
02/2002,87.380235,0.03883963,0.0386235
03/2002,90.774051,0.03691719,0.03670146
04/2002,94.125174,0.01493249,0.01472133
05/2002,95.530697,-0.04009188,-0.04029159
06/2002,91.700692,-0.06206549,-0.06226062
07/2002,86.009244,0.01070955,0.01049927
08/2002,86.930364,-0.05628674,-0.05648308
09/2002,82.037337,0.02195675,0.02174413
10/2002,83.83861,-0.03639754,-0.03659802
11/2002,80.787091,0.02059522,0.02038288
12/2002,82.450919,-0.04729851,-0.04749673
01/2003,78.551113,-0.03095312,-0.03115473
02/2003,76.119711,0.00404552,0.00383663
03/2003,76.427655,0.04713998,0.04692212
04/2003,80.030453,0.04772251,0.04750453
05/2003,83.849707,0.00458129,0.00437229
06/2003,84.233847,-0.01280521,-0.0130106
07/2003,83.155215,0.02483901,0.02462579
08/2003,85.220708,0.0233846,0.02317168
09/2003,87.21356,0.04081972,0.04060317
10/2003,90.773593,0.02159088,0.02137834
11/2003,92.733475,0.03884516,0.03862903
12/2003,96.335722,0.00222973,0.00202122
01/2004,96.550525,0.05469564,0.05447621
02/2004,101.831418,-0.00935321,-0.00955932
03/2004,100.878967,0.00344426,0.00323549
04/2004,101.22642,-0.00150944,-0.00171718
05/2004,101.073625,0.01545298,0.01524172
06/2004,102.635514,-0.04772233,-0.04792045
07/2004,97.737508,0.00286311,0.00265446
08/2004,98.017341,-0.01515434,-0.01535924
09/2004,96.531953,0.01724351,0.01703187
10/2004,98.196503,0.05426037,0.05404103
11/2004,103.524682,0.04047777,0.04026129
12/2004,107.71513,0.00026133,5.322e-05
01/2005,107.743279,0.01774806,0.01753631
02/2005,109.655513,-0.00636786,-0.00657459
03/2005,108.957242,-0.0118262,-0.01203179
04/2005,107.668692,0.01327926,0.01306845
05/2005,109.098453,-0.01435755,-0.01456262
06/2005,107.532066,0.02679934,0.02658571
07/2005,110.413854,0.00459818,0.00438917
08/2005,110.921557,0.01939583,0.01918375
09/2005,113.072973,-0.00977585,-0.00998186
10/2005,111.967589,0.00262913,0.00242053
11/2005,112.261966,0.01508517,0.01487398
12/2005,113.955457,0.01032357,0.01011337
01/2006,115.131884,0.01371673,0.01350582
02/2006,116.711117,0.00516352,0.00495439
03/2006,117.313757,0.02450942,0.02429627
04/2006,120.189049,-0.00606822,-0.006275
05/2006,119.459716,0.01545385,0.01524259
06/2006,121.305829,0.03061697,0.03040255
07/2006,125.019846,0.03585418,0.03563867
08/2006,129.50233,-0.00163806,-0.00184577
09/2006,129.290198,0.01848157,0.01826967
10/2006,131.679684,0.01352852,0.01331765
11/2006,133.461115,0.02587181,0.02565838
12/2006,136.913996,0.01345133,0.01324048
01/2007,138.755672,-0.00029481,-0.0005028
02/2007,138.714766,0.03472912,0.03451384
03/2007,143.532208,0.03961213,0.03939584
04/2007,149.217825,0.00578892,0.00557966
05/2007,150.081635,-0.01292273,-0.0131281
06/2007,148.14217,-0.01814537,-0.01834964
07/2007,145.454076,0.02573507,0.02552167
08/2007,149.197347,0.04224989,0.04203305
09/2007,155.500919,0.03187932,0.03166464
10/2007,160.458183,0.01862941,0.01841748
11/2007,163.447424,-0.00892072,-0.00912691
12/2007,161.989356,-0.06762404,-0.06781802
01/2008,151.034981,0.00894274,0.00873282
02/2008,152.385647,0.0281422,0.0279283
03/2008,156.674115,0.00292593,0.00271727
04/2008,157.132532,0.00656926,0.00635985
05/2008,158.164777,-0.07854471,-0.07873642
06/2008,145.74177,0.00661102,0.00640159
