w_EXUS,w_GOLD,w_GOVH,w_HPRD,w_IWMO,w_IWVL,w_LGAP,w_MVOL,w_MWEQ,w_PRAM,w_SP5A,w_WEBN,annualised_return_p1,annualised_return_p5,annualised_return_p50,annualised_return_p95,annualised_return_p99,max_dd_depth_p2,max_dd_length_months_p2,mda_months_p2,shannon_entropy,volatility_10y,volatility_1y,volatility_3y,volatility_5y
0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.022131,0.03768,0.078487,0.117558,0.130382,0.143474,48,4.098509,0.626628,0.024267,0.079803,0.045347,0.035174
0.0,0.2,0.3,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.024431,0.03662,0.071321,0.106216,0.120351,0.114581,48,2.99776,0.626628,0.021485,0.065599,0.039314,0.030084
0.0,0.2,0.3,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.017897,0.033316,0.071098,0.110052,0.125246,0.141314,60,4.743692,0.605571,0.022818,0.071912,0.041551,0.032533
0.0,0.1,0.3,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.020385,0.033161,0.07064,0.108992,0.124144,0.139649,60,4.05491,0.605571,0.023307,0.075066,0.042108,0.031247
0.0,0.2,0.3,0.2,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.3,0.019046,0.035057,0.07081,0.105786,0.119701,0.125564,48,3.548364,0.549783,0.021926,0.072037,0.041266,0.031582
0.1,0.2,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.010657,0.034072,0.080702,0.126071,0.146771,0.191713,60,6.073334,0.682417,0.028891,0.089392,0.051883,0.040029
0.1,0.2,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.021219,0.034456,0.076024,0.115581,0.128999,0.144935,48,3.935507,0.703474,0.024317,0.07424,0.044399,0.033626
0.1,0.2,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.010577,0.025355,0.073135,0.114906,0.131251,0.194524,72,7.359588,0.682417,0.027308,0.086781,0.048543,0.038574
0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.010565,0.02748,0.072629,0.119753,0.140462,0.188329,60,6.029127,0.682417,0.027904,0.090048,0.050852,0.039674
0.1,0.2,0.2,0.2,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.3,0.015958,0.034463,0.074014,0.115971,0.131697,0.148592,60,4.940018,0.626628,0.025244,0.080108,0.048399,0.036516
0.1,0.2,0.3,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.022502,0.037226,0.067399,0.105633,0.120898,0.123142,48,3.305279,0.682417,0.020967,0.066986,0.039435,0.030379
0.1,0.2,0.3,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.02255,0.033391,0.069952,0.10517,0.119439,0.133948,48,3.757716,0.682417,0.021545,0.072165,0.040257,0.030757
0.1,0.1,0.3,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.015594,0.030553,0.067788,0.10701,0.121403,0.144232,60,4.638842,0.682417,0.023425,0.073603,0.042629,0.033541
0.1,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.023115,0.033221,0.069641,0.104301,0.119212,0.124162,48,3.558115,0.626628,0.021118,0.069585,0.038831,0.030243
0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.003654,0.022105,0.067109,0.110476,0.130162,0.217847,72,8.766964,0.605571,0.027056,0.085768,0.04955,0.038522
0.1,0.1,0.3,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,0.009579,0.02642,0.066624,0.109046,0.121324,0.191881,72,6.928883,0.66136,0.024934,0.079184,0.045917,0.034252
0.1,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.015514,0.032441,0.070527,0.11162,0.126826,0.15315,60,4.230063,0.605571,0.024089,0.077078,0.043982,0.033677
0.1,0.0,0.3,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3,-0.000399,0.017711,0.064551,0.109996,0.126696,0.215224,84,9.570588,0.605571,0.028362,0.086445,0.049132,0.039043
0.1,0.1,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.009179,0.025202,0.069324,0.108975,0.127132,0.16333,72,6.274856,0.605571,0.025492,0.080342,0.04658,0.036854
0.0,0.2,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,0.016985,0.036211,0.082293,0.13005,0.156517,0.18368,60,6.077453,0.682417,0.028754,0.089117,0.05284,0.040937
0.0,0.2,0.2,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.021768,0.039352,0.078118,0.117281,0.135891,0.131896,48,3.808744,0.703474,0.024187,0.078952,0.046201,0.03551
0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,0.012157,0.033355,0.076848,0.122925,0.135407,0.184634,60,6.018234,0.682417,0.027344,0.084187,0.049834,0.03768
0.0,0.1,0.2,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,0.014222,0.030554,0.07613,0.120141,0.137373,0.196059,72,6.981723,0.682417,0.027301,0.086763,0.050807,0.03903
0.0,0.2,0.2,0.2,0.0,0.0,0.1,-0.0,0.0,0.0,0.0,0.3,0.019832,0.034683,0.078795,0.121507,0.140009,0.142518,60,4.57408,0.626628,0.025859,0.078706,0.047585,0.036346
0.0,0.2,0.3,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.022631,0.036641,0.071799,0.107033,0.119494,0.112333,48,3.052661,0.682417,0.02146,0.066768,0.03874,0.030703
0.0,0.2,0.3,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.018661,0.034221,0.072678,0.109536,0.122721,0.125736,48,3.543695,0.682417,0.022527,0.066744,0.040808,0.031371
0.0,0.1,0.3,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.016052,0.032759,0.070587,0.107759,0.120627,0.145493,60,5.053618,0.682417,0.023051,0.07299,0.042286,0.03291
0.0,0.2,0.3,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.019918,0.036272,0.072649,0.108225,0.127516,0.118357,48,2.835095,0.626628,0.022035,0.070308,0.039472,0.030819
0.0,0.2,0.3,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,0.00278,0.025292,0.070314,0.11262,0.133721,0.223861,72,8.842141,0.605571,0.026809,0.08451,0.049864,0.039476
0.0,0.1,0.3,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,0.01276,0.027008,0.069955,0.111773,0.127573,0.180272,60,6.324693,0.66136,0.025182,0.077987,0.046875,0.035402
0.0,0.2,0.3,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.01548,0.032853,0.073726,0.110133,0.125591,0.142896,48,4.11215,0.605571,0.023697,0.076384,0.043486,0.033985
0.0,0.0,0.3,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,0.004219,0.023433,0.068267,0.111832,0.129099,0.201771,72,8.049793,0.605571,0.027392,0.088885,0.047988,0.038154
0.0,0.1,0.3,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.01488,0.029357,0.07087,0.11062,0.127992,0.158081,60,5.142665,0.605571,0.024367,0.077902,0.045605,0.033913
0.1,0.2,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.019713,0.035771,0.08105,0.128735,0.147937,0.183278,60,6.011423,0.759263,0.028645,0.088426,0.053572,0.040828
0.1,0.2,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,0.005018,0.031909,0.081079,0.131565,0.150805,0.261466,72,11.026469,0.738206,0.03076,0.098554,0.059138,0.045997
0.1,0.1,0.1,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,0.007185,0.026039,0.077091,0.130352,0.155451,0.251349,72,11.238129,0.738206,0.031385,0.101949,0.0592,0.045352
0.1,0.2,0.1,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.015938,0.032734,0.082607,0.131051,0.152883,0.207005,72,7.698532,0.682417,0.029573,0.094373,0.056382,0.042869
0.1,0.2,0.2,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.018491,0.034124,0.075643,0.116431,0.129174,0.157924,60,5.25677,0.759263,0.025315,0.07955,0.045785,0.035417
